as_of,team,conference,overall,offense,defense,qb,rb,wr,te,ol,dl,lb,db
2026-08-05,Ohio State,Big10,B,A,B,C+,B+,A,A+,B,B,B,C+
2026-08-05,Oklahoma,SEC,B,A,B,C+,A,B+,A,D+,B+,B,C+
2026-08-05,Oklahoma State,Big12,C,D+,B,F,B+,B,F,B+,A+,B,F
2026-08-05,Old Dominion,SBC,B,D+,B,B,D+,C,D+,D+,C+,B,B
2026-08-05,Ole Miss,SEC,B+,A,C,A+,A,A,D,F,B,C,A+
2026-08-05,Oregon,Big10,B+,B+,B,A,A,D+,C+,C+,C,B,A
2026-08-05,Oregon State,Pac12,A+,A+,A+,A+,A+,A+,C+,A+,C+,A+,A+
2026-08-05,Penn State,Big10,C+,D,B+,B,D+,D+,C,D,A+,B+,B
2026-08-05,Pittsburgh,ACC,F,D+,D+,C+,B,F,D,C+,C,D+,C+
2026-08-05,Purdue,Big10,D+,C+,C,B,D,B+,B,C,C,C,B
2026-08-05,Rice,Amer,C,C+,C,D+,D+,A,C,A,C+,C,D+
2026-08-05,Rutgers,Big10,C,B,D+,C,C,C+,C+,A+,D,D+,C
2026-08-05,Sacramento State,MAC,,,,,,,,,,,
2026-08-05,Sam Houston,CUSA,D+,D,C,D,C,B+,D+,C+,B+,C,D
2026-08-05,San Diego State,Pac12,B,B+,C+,C+,B,B+,C+,A,A,C+,C+
2026-08-05,San Jose State,MWC,D+,C+,D,C,C+,C+,D,C+,B,D,C
2026-08-05,SMU,ACC,C,C,C,C+,D+,B+,B,D+,F,C,C+
2026-08-05,South Alabama,SBC,B,B,C+,C,A+,D+,C+,D,D,C+,C
2026-08-05,South Carolina,SEC,C,C,C,B+,C,B+,F,C+,C,C,B+
2026-08-05,South Florida,Amer,A+,A+,A,A,A,A,A,A,A+,A,A
2026-08-05,Southern Miss,SBC,D+,D+,C,B,D+,F,C,D+,B,C,B
2026-08-05,Stanford,ACC,D+,F,B,D+,D,D,D,F,C,B,D+
2026-08-05,Syracuse,ACC,B,A,C,A+,C,D+,B+,C,D,C,A+
2026-08-05,TCU,Big12,F,F,D,D+,F,A,B,C+,C+,D,D+
2026-08-05,Temple,Amer,A,A,B,A,B+,B,A+,B+,C+,B,A
2026-08-05,Tennessee,SEC,F,F,C+,F,F,F,C,C,A,C+,F
2026-08-05,Texas,SEC,A,B+,A+,B,B+,C,C+,B+,A,A+,B
2026-08-05,Texas A&M,SEC,D,C+,F,C,C,A,B,B+,D,F,C
2026-08-05,Texas State,Pac12,B+,D,A+,F,C,B,B+,B,A+,A+,F
2026-08-05,Texas Tech,Big12,A,A,B+,C,B,A+,B+,A,C,B+,C
2026-08-05,Toledo,MAC,B+,A,B,F,A+,A+,B,A,B,B,F
2026-08-05,Troy,SBC,C,C+,C+,D+,C+,C,C+,B+,C+,C+,D+
2026-08-05,Tulane,Amer,C+,A,D,A+,A,C+,C+,B,D+,D,A+
2026-08-05,Tulsa,Amer,B,B+,C+,B,A+,B+,F,C+,B+,C+,B
2026-08-05,UAB,Amer,D+,D+,D+,D+,C,D+,D,C,C,D+,D+
2026-08-05,UCF,Big12,B,C+,B,A+,C,D,C,F,C,B,A+
2026-08-05,UCLA,Big10,A,B,A,C,B,B+,D,A,C,A,C
2026-08-05,Connecticut,Inde,B,B,C+,B+,A,B,C,C+,C+,C+,B+
2026-08-05,Louisiana-Monroe,SBC,D+,C,D+,C,C,D,D+,C,D+,D+,C
2026-08-05,UNLV,MWC,B+,B,B+,B,C,A,B,B+,D+,B+,B
2026-08-05,USC,Big10,C,C,C,D,C,C,B+,B+,B,C,D
2026-08-05,Utah,Big12,C+,C,C+,B+,C,D+,A,D,B,C+,B+
2026-08-05,Utah State,Pac12,C,D,B+,F,C,D,C,F,D,B+,F
2026-08-05,UTEP,MWC,C+,B,D+,C+,D,A,A+,C,C+,D+,C+
2026-08-05,UTSA,Amer,A,C,A+,C+,B,D+,D+,D+,B,A+,C+
2026-08-05,Vanderbilt,SEC,C+,D,B,D+,D,C,B,C,C+,B,D+
2026-08-05,Virginia,ACC,A+,A+,A,A,A+,A+,B,A,A,A,A
2026-08-05,Virginia Tech,ACC,C,B+,D,B+,C,B,C+,B+,A,D,B+
2026-08-05,Wake Forest,ACC,B,D+,B,C,F,B+,C,B+,C+,B,C
2026-08-05,Washington,Big10,A+,A,A,B+,A+,A,D+,C,B+,A,B+
2026-08-05,Washington State,Pac12,C+,C+,C+,C+,C+,C+,A+,C+,A+,C+,C+
2026-08-05,West Virginia,Big12,A,B+,B+,A,D,B,A,C+,D+,B+,A
2026-08-05,Western Kentucky,CUSA,B+,B+,A,B+,C,A+,F,B+,B+,A,B+
2026-08-05,Western Michigan,MAC,C,C+,C+,B,B+,D+,C+,D+,C,C+,B
2026-08-05,Wisconsin,Big10,B,D+,B+,C,F,B,A,B,F,B+,C
2026-08-05,Wyoming,MWC,C,C,C,D,B+,D+,B+,B,C,C,D
