team,rating_2026_current,rank_2026_current,rating_2025_eoy,rank_2025_eoy,source_count_2025,missing_sources_2025,rating_trend,rank_trend
Baylor,4.5,50,3.959588235294119,57.0,5,,0.540411764705881,7.0
Cincinnati,4.5,50,5.561588235294116,47.0,5,,-1.0615882352941162,-3.0
Mississippi State,3.9,52,5.243588235294118,49.0,5,,-1.3435882352941184,-3.0
Maryland,3.8,53,-0.6224117647058822,71.0,5,,4.422411764705882,18.0
North Carolina,3.8,53,-5.296411764705882,88.0,5,,9.09641176470588,35.0
Kentucky,3.8,53,4.627588235294117,54.0,5,,-0.8275882352941171,1.0
Kansas,3.7,56,5.069588235294118,50.0,5,,-1.3695882352941178,-6.0
California,3.7,56,-2.6444117647058825,76.0,5,,6.344411764705883,20.0
Wake Forest,3.6,58,3.8275882352941175,59.0,5,,-0.22758823529411742,1.0
UNLV,2.8,59,-0.0044117647058824,69.0,5,,2.804411764705882,10.0
Central Florida,2.3,60,-0.1104117647058819,70.0,5,,2.4104117647058816,10.0
Rutgers,1.8,61,2.211588235294119,62.0,5,,-0.41158823529411914,1.0
Wisconsin,1.8,61,1.8535882352941184,64.0,5,,-0.05358823529411838,3.0
Navy,1.1,63,2.271588235294119,61.0,5,,-1.1715882352941187,-2.0
Iowa State,1.0,64,9.165588235294118,35.0,5,,-8.165588235294118,-29.0
Colorado,0.9,65,-4.024411764705883,85.0,5,,4.924411764705884,20.0
West Virginia,0.8,66,-3.6664117647058823,82.0,5,,4.4664117647058825,16.0
Michigan State,0.4,67,0.8375882352941193,68.0,5,,-0.4375882352941193,1.0
New Mexico,-0.5,68,-2.272411764705882,74.0,5,,1.7724117647058821,6.0
Syracuse,-0.7,69,-9.47441176470588,99.0,5,,8.774411764705881,30.0
Memphis,-1.1,70,3.2175882352941185,60.0,5,,-4.317588235294119,-10.0
San Diego State,-1.3,71,1.225588235294118,66.0,5,,-2.5255882352941184,-5.0
North Dakota State,-1.4,72,,,0,"spplus_2025,fpi_2025,teamrankings_2025,kford_2025,bradpowers_2025",,
UTSA,-1.5,73,1.109588235294118,67.0,5,,-2.609588235294118,-6.0
Boston College,-1.5,73,-4.930411764705882,87.0,5,,3.430411764705882,14.0
Stanford,-1.9,75,-5.506411764705883,89.0,5,,3.6064117647058826,14.0
East Carolina,-2.0,76,4.647588235294119,53.0,5,,-6.647588235294119,-23.0
James Madison,-2.1,77,10.53358823529412,31.0,5,,-12.63358823529412,-46.0
Fresno State,-2.3,78,-3.032411764705883,79.0,5,,0.732411764705883,1.0
Air Force,-2.4,79,-7.584411764705882,94.0,5,,5.184411764705882,15.0
South Florida,-2.8,80,10.947588235294116,29.0,5,,-13.747588235294117,-51.0
Miami-OH,-2.9,81,-6.568411764705881,92.0,5,,3.668411764705881,11.0
Purdue,-2.9,81,-4.446411764705881,86.0,5,,1.5464117647058813,5.0
Army,-3.0,83,-2.3144117647058815,75.0,5,,-0.6855882352941185,-8.0
Hawaii,-3.9,84,-3.482411764705881,80.0,5,,-0.4175882352941187,-4.0
Western Kentucky,-5.3,85,-5.678411764705882,90.0,5,,0.37841176470588245,5.0
Washington State,-5.3,85,1.3435882352941182,65.0,5,,-6.643588235294118,-20.0
Tulane,-5.5,87,4.415588235294118,55.0,5,,-9.915588235294118,-32.0
Old Dominion,-5.8,88,4.875588235294119,51.0,5,,-10.675588235294118,-37.0
Texas State,-5.9,89,-1.3564117647058818,72.0,5,,-4.543588235294118,-17.0
Troy,-6.0,90,-7.676411764705883,95.0,5,,1.6764117647058834,5.0
Oregon State,-6.3,91,-12.562411764705882,113.0,5,,6.262411764705882,22.0
Marshall,-6.4,92,-7.198411764705883,93.0,5,,0.7984117647058824,1.0
Liberty,-6.4,92,-10.29841176470588,101.0,5,,3.8984117647058802,9.0
Florida Atlantic,-7.1,94,-11.49241176470588,108.0,5,,4.39241176470588,14.0
Western Michigan,-7.2,95,-3.5304117647058817,81.0,5,,-3.6695882352941185,-14.0
Tulsa,-7.6,96,-12.950411764705882,114.0,5,,5.350411764705882,18.0
Utah State,-7.7,97,-3.856411764705882,84.0,5,,-3.843588235294118,-13.0
Jacksonville State,-7.7,97,-9.75841176470588,100.0,5,,2.0584117647058795,3.0
Colorado State,-8.3,99,-14.616411764705882,120.0,5,,6.316411764705881,21.0
Louisiana Tech,-8.3,99,-6.284411764705882,91.0,5,,-2.0155882352941186,-8.0
Arkansas State,-8.5,101,-10.466411764705882,102.0,5,,1.9664117647058816,1.0
Temple,-8.7,102,-8.332411764705881,97.0,5,,-0.367588235294118,-5.0
Georgia Southern,-8.9,103,-10.760411764705882,103.0,5,,1.8604117647058818,0.0
Louisiana,-9.1,104,-11.068411764705882,105.0,5,,1.9684117647058823,1.0
Kennesaw State,-9.3,105,-7.786411764705882,96.0,5,,-1.5135882352941188,-9.0
Wyoming,-9.6,106,-11.732411764705882,109.0,5,,2.132411764705882,3.0
Connecticut,-11.2,107,-1.6084117647058822,73.0,5,,-9.591588235294116,-34.0
Toledo,-11.5,108,4.229588235294119,56.0,5,,-15.72958823529412,-52.0
North Texas,-11.8,109,8.95158823529412,36.0,5,,-20.751588235294122,-73.0
Buffalo,-11.9,110,-12.402411764705883,112.0,5,,0.502411764705883,2.0
Appalachian State,-12.1,111,-13.384411764705884,116.0,5,,1.2844117647058848,5.0
Nevada,-12.2,112,-14.602411764705884,119.0,5,,2.402411764705885,7.0
Central Michigan,-12.4,113,-10.962411764705882,104.0,5,,-1.4375882352941183,-9.0
Delaware,-13.0,114,-12.994411764705882,115.0,5,,-0.005588235294117894,1.0
South Alabama,-13.3,115,-11.11441176470588,106.0,5,,-2.185588235294121,-9.0
Bowling Green,-13.3,115,-14.116411764705882,118.0,5,,0.8164117647058813,3.0
Ohio,-13.6,117,-3.7124117647058825,83.0,5,,-9.887588235294118,-34.0
Florida International,-13.7,118,-11.31641176470588,107.0,5,,-2.38358823529412,-11.0
Coastal Carolina,-13.8,119,-15.616411764705884,122.0,5,,1.816411764705883,3.0
Rice,-14.7,120,-17.14041176470588,125.0,5,,2.440411764705882,5.0
Eastern Michigan,-15.0,121,-15.262411764705885,121.0,5,,0.26241176470588456,0.0
San Jose State,-15.5,122,-13.868411764705884,117.0,5,,-1.6315882352941156,-5.0
New Mexico State,-16.4,123,-17.568411764705882,126.0,5,,1.1684117647058834,3.0
UAB,-18.1,124,-15.764411764705883,123.0,5,,-2.335588235294118,-1.0
Northern Illinois,-18.2,125,-16.586411764705883,124.0,5,,-1.6135882352941167,-1.0
Missouri State,-18.7,126,-12.21041176470588,111.0,5,,-6.48958823529412,-15.0
Akron,-19.5,127,-17.656411764705883,127.0,5,,-1.843588235294117,0.0
Kent State,-20.1,128,-20.28641176470588,132.0,5,,0.18641176470587695,4.0
UTEP,-20.5,129,-17.916411764705884,128.0,5,,-2.5835882352941155,-1.0
Sacramento State,-22.7,130,,,0,"spplus_2025,fpi_2025,teamrankings_2025,kford_2025,bradpowers_2025",,
Southern Miss,-23.3,131,-8.752411764705883,98.0,5,,-14.547588235294118,-33.0
UL-Monroe,-24.3,132,-20.034411764705883,131.0,5,,-4.265588235294118,-1.0
Georgia State,-25.1,133,-19.97641176470588,130.0,5,,-5.123588235294122,-3.0
Ball State,-25.2,134,-21.98841176470588,133.0,5,,-3.211588235294119,-1.0
Middle Tennessee,-26.0,135,-18.20441176470588,129.0,5,,-7.795588235294119,-6.0
Sam Houston,-26.3,136,-25.76041176470589,135.0,5,,-0.5395882352941115,-1.0
Massachusetts,-30.9,137,-33.532411764705884,136.0,5,,2.6324117647058856,-1.0
Charlotte,-32.4,138,-23.27641176470588,134.0,5,,-9.123588235294118,-4.0
