source,game_id,date,away_team,home_team,neutral_site,pulled_at,market_away_moneyline,market_home_moneyline,market_moneyline_book,market_moneyline_last_update,market_spread_home,market_spread_book,market_spread_price_home,market_spread_price_away,market_spread_last_update,market_total,market_total_book,market_total_over_price,market_total_under_price,market_total_last_update
SportsGameOdds,g18,2026-09-03,Akron,Wake Forest,False,2026-08-03T05:10:10.947483+00:00,1300.0,-2800.0,draftkings,2026-08-03T05:08:22.214Z,-22.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z,49.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g187,2026-09-18,Houston,Texas Tech,False,2026-08-03T05:10:10.947483+00:00,400.0,-535.0,draftkings,2026-08-03T05:08:04.700Z,-13.5,draftkings,-115.0,-105.0,2026-08-03T05:08:04.700Z,54.5,draftkings,-115.0,-105.0,2026-08-03T05:08:04.700Z
SportsGameOdds,g189,2026-09-19,Florida State,Alabama,False,2026-08-03T05:10:10.947483+00:00,470.0,-650.0,draftkings,2026-08-03T05:08:22.214Z,-15.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,52.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g19,2026-09-04,San Jose State,Eastern Michigan,False,2026-08-03T05:10:10.947483+00:00,160.0,-192.0,draftkings,2026-08-03T05:08:22.214Z,-4.0,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,,,,,
SportsGameOdds,g193,2026-09-19,Florida,Auburn,False,2026-08-03T05:10:10.947483+00:00,-110.0,-110.0,draftkings,2026-08-03T05:08:22.214Z,-1.5,draftkings,-105.0,-115.0,2026-08-03T05:08:22.214Z,53.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g2,2026-08-29,New Mexico State,Florida State,False,2026-08-03T05:10:10.947483+00:00,3000.0,-10000.0,draftkings,2026-08-03T05:08:22.214Z,-30.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z,53.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g216,2026-09-19,SMU,Louisville,False,2026-08-03T05:10:10.947483+00:00,-108.0,-112.0,draftkings,2026-08-03T05:08:22.214Z,-1.5,draftkings,-105.0,-115.0,2026-08-03T05:08:22.214Z,56.5,draftkings,-115.0,-105.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g22,2026-09-04,Miami-FL,Stanford,False,2026-08-03T05:10:10.947483+00:00,-2800.0,1300.0,draftkings,2026-08-03T05:08:22.214Z,23.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,49.5,draftkings,-115.0,-105.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g232,2026-09-19,LSU,Ole Miss,False,2026-08-03T05:10:10.947483+00:00,105.0,-125.0,draftkings,2026-08-03T05:08:22.214Z,-1.5,draftkings,-115.0,-105.0,2026-08-03T05:08:22.214Z,57.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g24,2026-09-05,East Carolina,Alabama,False,2026-08-03T05:10:10.947483+00:00,2200.0,-8000.0,draftkings,2026-08-03T05:08:22.214Z,-28.5,draftkings,-102.0,-118.0,2026-08-03T05:08:22.214Z,54.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g3,2026-08-29,Jacksonville State,North Dakota State,False,2026-08-03T05:10:10.947483+00:00,230.0,-285.0,draftkings,2026-08-03T05:08:22.214Z,-7.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,48.5,draftkings,-105.0,-115.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g30,2026-09-05,Baylor,Auburn,True,2026-08-03T05:10:10.947483+00:00,225.0,-278.0,draftkings,2026-08-03T05:08:22.214Z,-7.0,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,59.5,draftkings,-115.0,-105.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g33,2026-09-05,UCLA,California,False,2026-08-03T05:10:10.947483+00:00,-108.0,-112.0,draftkings,2026-08-03T05:08:22.214Z,-1.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,54.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g35,2026-09-05,Boston College,Cincinnati,False,2026-08-03T05:10:10.947483+00:00,210.0,-258.0,draftkings,2026-08-03T05:08:22.214Z,-7.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,54.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g36,2026-09-05,Wyoming,Colorado State,False,2026-08-03T05:10:10.947483+00:00,150.0,-180.0,draftkings,2026-08-03T05:08:22.214Z,-4.0,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,48.5,draftkings,-105.0,-115.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g38,2026-09-05,Tulane,Duke,False,2026-08-03T05:10:10.947483+00:00,330.0,-425.0,draftkings,2026-08-03T05:08:22.214Z,-10.0,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,52.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g39,2026-09-05,Florida Atlantic,Florida,False,2026-08-03T05:10:10.947483+00:00,1400.0,-3200.0,draftkings,2026-08-03T05:08:22.214Z,-26.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z,58.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g4,2026-08-29,Hawaii,Stanford,False,2026-08-03T05:10:10.947483+00:00,160.0,-192.0,draftkings,2026-08-03T05:08:22.214Z,-4.0,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,50.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g42,2026-09-05,UNLV,Hawaii,False,2026-08-03T05:10:10.947483+00:00,-122.0,102.0,draftkings,2026-08-03T05:08:22.214Z,1.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,58.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g43,2026-09-05,Oregon State,Houston,False,2026-08-03T05:10:10.947483+00:00,750.0,-1200.0,draftkings,2026-08-03T05:08:22.214Z,-19.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z,50.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g45,2026-09-05,North Texas,Indiana,False,2026-08-03T05:10:10.947483+00:00,,,,,-40.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z,,,,,
SportsGameOdds,g46,2026-09-05,Northern Illinois,Iowa,False,2026-08-03T05:10:10.947483+00:00,2500.0,-9000.0,draftkings,2026-08-03T05:08:22.214Z,-30.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,45.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g48,2026-09-05,Liberty,James Madison,False,2026-08-03T05:10:10.947483+00:00,195.0,-238.0,draftkings,2026-08-03T05:07:38.000Z,-6.5,draftkings,-108.0,-112.0,2026-08-03T05:07:38.000Z,52.5,draftkings,-110.0,-110.0,2026-08-03T05:07:38.000Z
SportsGameOdds,g5,2026-08-29,North Carolina,TCU,True,2026-08-03T05:10:10.947483+00:00,210.0,-258.0,draftkings,2026-08-03T05:08:22.214Z,-6.5,draftkings,-118.0,-102.0,2026-08-03T05:08:22.214Z,48.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g52,2026-09-05,Clemson,LSU,False,2026-08-03T05:10:10.947483+00:00,295.0,-375.0,draftkings,2026-08-03T05:08:22.214Z,-10.0,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z,50.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g56,2026-09-05,Arkansas State,Memphis,False,2026-08-03T05:10:10.947483+00:00,320.0,-410.0,draftkings,2026-08-03T05:08:22.214Z,-10.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,,,,,
SportsGameOdds,g57,2026-09-05,Western Michigan,Michigan,False,2026-08-03T05:10:10.947483+00:00,2000.0,-6500.0,draftkings,2026-08-03T05:08:22.214Z,-26.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z,47.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g58,2026-09-05,Toledo,Michigan State,False,2026-08-03T05:10:10.947483+00:00,310.0,-395.0,draftkings,2026-08-03T05:08:22.214Z,-11.5,draftkings,-105.0,-115.0,2026-08-03T05:08:22.214Z,49.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g6,2026-08-29,Memphis,UNLV,False,2026-08-03T05:10:10.947483+00:00,164.0,-198.0,draftkings,2026-08-03T05:08:22.214Z,-5.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,59.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g60,2026-09-05,UL-Monroe,Mississippi State,False,2026-08-03T05:10:10.947483+00:00,2500.0,-9000.0,draftkings,2026-08-03T05:08:22.214Z,-29.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,55.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g62,2026-09-05,Ohio,Nebraska,False,2026-08-03T05:10:10.947483+00:00,1600.0,-4000.0,draftkings,2026-08-03T05:08:22.214Z,,,,,,47.5,draftkings,-115.0,-105.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g63,2026-09-05,Western Kentucky,Nevada,False,2026-08-03T05:10:10.947483+00:00,-142.0,120.0,draftkings,2026-08-03T05:08:22.214Z,3.0,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z,52.5,draftkings,-115.0,-105.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g64,2026-09-05,Central Michigan,New Mexico,False,2026-08-03T05:10:10.947483+00:00,400.0,-535.0,draftkings,2026-08-03T05:08:22.214Z,-12.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,,,,,
SportsGameOdds,g68,2026-09-05,Ball State,Ohio State,False,2026-08-03T05:10:10.947483+00:00,,,,,-50.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,56.5,draftkings,-115.0,-105.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g69,2026-09-05,UTEP,Oklahoma,False,2026-08-03T05:10:10.947483+00:00,,,,,-40.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,,,,,
SportsGameOdds,g7,2026-08-29,San Jose State,USC,False,2026-08-03T05:10:10.947483+00:00,,,,,-38.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,59.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g71,2026-09-05,Boise State,Oregon,False,2026-08-03T05:10:10.947483+00:00,1500.0,-3600.0,draftkings,2026-08-03T05:08:22.214Z,-24.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,52.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g72,2026-09-05,Marshall,Penn State,False,2026-08-03T05:10:10.947483+00:00,1400.0,-3200.0,draftkings,2026-08-03T05:08:22.214Z,-24.5,draftkings,-105.0,-115.0,2026-08-03T05:08:22.214Z,54.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g73,2026-09-05,Miami-OH,Pittsburgh,False,2026-08-03T05:10:10.947483+00:00,550.0,-800.0,draftkings,2026-08-03T05:08:22.214Z,-16.5,draftkings,-105.0,-115.0,2026-08-03T05:08:22.214Z,50.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g79,2026-09-05,Kent State,South Carolina,False,2026-08-03T05:10:10.947483+00:00,3000.0,-10000.0,draftkings,2026-08-03T05:08:22.214Z,-34.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,52.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g8,2026-08-29,NC State,Virginia,True,2026-08-03T05:10:10.947483+00:00,170.0,-205.0,draftkings,2026-08-03T05:07:38.000Z,-5.5,draftkings,-110.0,-110.0,2026-08-03T05:07:38.000Z,54.5,draftkings,-108.0,-112.0,2026-08-03T05:07:38.000Z
SportsGameOdds,g80,2026-09-05,Florida International,South Florida,False,2026-08-03T05:10:10.947483+00:00,360.0,-470.0,draftkings,2026-08-03T05:08:22.214Z,-12.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,54.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g85,2026-09-05,Texas State,Texas,False,2026-08-03T05:10:10.947483+00:00,2500.0,-9000.0,draftkings,2026-08-03T05:08:22.214Z,-30.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,59.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g86,2026-09-05,Missouri State,Texas A&M,False,2026-08-03T05:10:10.947483+00:00,,,,,-39.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,52.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g88,2026-09-05,Sam Houston,Troy,False,2026-08-03T05:10:10.947483+00:00,600.0,-900.0,draftkings,2026-08-03T05:08:22.214Z,-16.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z,51.5,draftkings,-115.0,-105.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g89,2026-09-05,Oklahoma State,Tulsa,False,2026-08-03T05:10:10.947483+00:00,-550.0,410.0,draftkings,2026-08-03T05:08:22.214Z,13.5,draftkings,-115.0,-105.0,2026-08-03T05:08:22.214Z,61.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g90,2026-09-05,Fresno State,USC,False,2026-08-03T05:10:10.947483+00:00,1200.0,-2400.0,draftkings,2026-08-03T05:08:22.214Z,-23.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,51.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g95,2026-09-05,Washington State,Washington,False,2026-08-03T05:10:10.947483+00:00,1000.0,-1800.0,draftkings,2026-08-03T05:08:22.214Z,-21.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,50.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g96,2026-09-05,Coastal Carolina,West Virginia,False,2026-08-03T05:10:10.947483+00:00,900.0,-1600.0,draftkings,2026-08-03T05:08:22.214Z,-21.0,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,57.5,draftkings,-115.0,-105.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g97,2026-09-06,Wisconsin,Notre Dame,True,2026-08-03T05:10:10.947483+00:00,1100.0,-2100.0,draftkings,2026-08-03T05:08:22.214Z,-20.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,47.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g98,2026-09-06,Louisville,Ole Miss,True,2026-08-03T05:10:10.947483+00:00,220.0,-270.0,draftkings,2026-08-03T05:08:22.214Z,-6.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,,,,,
SportsGameOdds,g99,2026-09-07,SMU,Florida State,False,2026-08-03T05:10:10.947483+00:00,-130.0,110.0,draftkings,2026-08-03T05:08:22.214Z,1.5,draftkings,-102.0,-118.0,2026-08-03T05:08:22.214Z,53.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z
