unnamed_0_level_0_w_l,power_index_fpi,power_index_rk,power_index_trend,projections_proj_w_l,projections_win_out,projections_6wins,projections_win_div,projections_win_conf,projections_playoff,projections_make_nc,projections_win_nc
0-0,11.1,24,--,8.3-4.0,0.4,91.6,0.0,11.1,18.5,1.2,0.4
0-0,10.6,25,--,7.6-4.4,0.1,86.2,0.0,1.7,11.8,0.8,0.3
0-0,9.9,26,--,7.0-5.0,0.0,78.1,0.0,1.0,9.4,0.7,0.2
0-0,9.5,27,--,7.6-4.6,0.3,82.0,0.0,8.1,13.8,0.6,0.2
0-0,9.3,28,--,6.7-5.4,0.0,71.0,0.0,3.2,9.2,0.6,0.2
0-0,9.0,29,--,6.2-5.8,0.0,62.5,0.0,0.7,6.8,0.5,0.2
0-0,8.8,30,--,6.7-5.3,0.0,74.5,0.0,0.7,7.3,0.4,0.1
0-0,8.5,31,--,7.7-4.4,0.4,83.7,0.0,5.9,11.1,0.6,0.2
0-0,7.9,32,--,7.7-4.4,0.3,84.7,0.0,4.6,9.3,0.4,0.1
0-0,7.4,33,--,7.0-5.1,0.0,76.4,0.0,3.2,7.3,0.3,0.1
0-0,7.2,34,--,7.3-4.8,0.1,80.1,0.0,4.2,7.8,0.3,0.1
0-0,7.1,35,--,7.4-4.7,0.1,81.3,0.0,4.1,7.9,0.4,0.1
0-0,6.6,36,--,7.1-5.0,0.1,77.6,0.0,2.8,6.5,0.3,0.1
0-0,6.5,37,--,6.6-5.5,0.0,68.8,0.0,3.2,6.0,0.2,0.1
0-0,6.4,38,--,6.8-5.3,0.0,72.1,0.0,4.0,6.9,0.3,0.1
0-0,6.3,39,--,6.7-5.3,0.0,72.3,0.0,0.5,4.7,0.3,0.1
0-0,5.4,40,--,4.6-7.4,0.0,30.4,0.0,0.2,2.1,0.1,0.0
0-0,5.1,41,--,7.0-5.1,0.1,74.1,0.0,3.1,5.7,0.2,0.0
0-0,4.9,42,--,5.8-6.2,0.0,55.5,0.0,1.3,3.2,0.1,0.0
0-0,4.8,43,--,6.5-5.5,0.0,69.2,0.0,0.6,3.4,0.1,0.0
0-0,4.8,44,--,6.0-6.1,0.0,57.6,0.0,2.3,4.0,0.1,0.0
0-0,4.5,45,--,6.0-6.1,0.0,57.2,0.0,2.5,4.3,0.2,0.1
0-0,4.4,46,--,6.4-5.7,0.0,64.9,0.0,2.1,4.0,0.1,0.0
0-0,4.4,47,--,4.3-7.7,0.0,24.2,0.0,0.1,1.7,0.1,0.0
0-0,4.2,48,--,5.8-6.3,0.0,54.4,0.0,1.5,3.3,0.2,0.0
0-0,4.1,49,--,4.6-7.4,0.0,29.5,0.0,0.1,1.7,0.1,0.0
0-0,4.0,50,--,7.8-3.8,0.3,84.9,0.0,36.4,11.0,0.2,0.0
0-0,3.7,51,--,6.7-5.4,0.0,70.0,0.0,2.1,4.0,0.1,0.0
0-0,3.5,52,--,6.0-6.1,0.0,57.9,0.0,1.4,3.0,0.1,0.0
0-0,3.4,53,--,6.3-5.8,0.0,63.3,0.0,1.4,3.0,0.1,0.0
0-0,3.3,54,--,6.0-6.1,0.0,58.5,0.0,1.9,3.2,0.2,0.1
0-0,2.8,55,--,6.0-6.0,0.0,58.1,0.0,1.5,2.7,0.1,0.0
0-0,2.3,56,--,8.2-4.2,0.7,87.0,0.0,24.8,7.5,0.1,0.0
0-0,2.1,57,--,6.1-5.9,0.0,59.6,0.0,1.7,2.9,0.1,0.0
0-0,1.8,58,--,9.0-3.6,2.4,92.6,0.0,35.3,8.6,0.1,0.0
0-0,1.4,59,--,7.5-4.0,1.0,81.3,0.0,25.1,7.4,0.1,0.0
0-0,1.4,60,--,4.9-7.1,0.0,37.6,0.0,0.1,1.0,0.0,0.0
0-0,1.0,61,--,5.4-6.6,0.0,46.0,0.0,0.1,1.3,0.0,0.0
0-0,0.9,62,--,5.6-6.5,0.0,49.2,0.0,0.8,1.7,0.0,0.0
0-0,0.6,63,--,5.3-6.7,0.0,43.7,0.0,0.1,0.9,0.0,0.0
0-0,0.5,64,--,5.1-6.9,0.0,41.5,0.0,0.1,1.0,0.0,0.0
0-0,0.3,65,--,4.6-7.4,0.0,32.7,0.0,0.1,0.7,0.0,0.0
0-0,0.2,66,--,5.4-6.6,0.0,46.5,0.0,0.7,1.4,0.0,0.0
0-0,-0.2,67,--,5.1-6.9,0.0,40.6,0.0,0.1,0.8,0.0,0.0
0-0,-0.6,68,--,8.0-4.3,0.1,88.2,0.0,14.5,4.8,0.0,0.0
0-0,-0.7,69,--,7.9-4.4,0.1,86.1,0.0,18.9,4.8,0.0,0.0
0-0,-0.8,70,--,4.8-7.2,0.0,35.0,0.0,0.5,0.9,0.0,0.0
0-0,-0.9,71,--,4.3-7.7,0.0,25.1,0.0,0.1,0.5,0.0,0.0
0-0,-0.9,72,--,5.1-6.9,0.0,41.0,0.0,0.5,1.0,0.0,0.0
0-0,-0.9,73,--,8.4-3.8,1.0,90.9,0.0,10.9,5.3,0.0,0.0
0-0,-1.9,74,--,7.0-5.2,0.1,74.3,0.0,8.6,3.2,0.0,0.0
0-0,-2.0,75,--,8.2-4.2,0.6,87.1,32.0,19.8,4.2,0.0,0.0
0-0,-2.4,76,--,7.9-4.5,0.3,84.4,0.0,21.8,3.7,0.0,0.0
0-0,-2.5,77,--,6.2-5.0,0.0,62.3,0.0,11.4,2.8,0.0,0.0
0-0,-2.7,78,--,4.0-8.1,0.0,19.9,0.0,0.1,0.4,0.0,0.0
0-0,-3.0,79,--,8.4-4.0,1.0,89.7,0.0,25.7,4.0,0.0,0.0
0-0,-3.3,80,--,3.9-8.1,0.0,19.0,0.0,0.2,0.3,0.0,0.0
0-0,-3.5,81,--,7.7-4.7,0.1,83.8,0.0,16.4,3.0,0.0,0.0
0-0,-4.0,82,--,7.7-4.6,0.1,84.4,0.0,21.8,2.6,0.0,0.0
0-0,-4.1,83,--,5.1-6.1,0.0,39.3,0.0,8.3,1.4,0.0,0.0
0-0,-4.3,84,--,5.6-5.6,0.0,52.2,0.0,8.6,1.9,0.0,0.0
0-0,-4.4,85,--,7.3-5.0,0.1,76.7,24.0,14.0,2.2,0.0,0.0
0-0,-4.9,86,--,7.2-5.3,0.0,77.2,0.0,24.8,2.0,0.0,0.0
0-0,-5.1,87,--,6.9-5.3,0.0,73.5,24.4,13.0,1.5,0.0,0.0
0-0,-5.3,88,--,6.4-5.7,0.0,66.5,0.0,5.6,1.5,0.0,0.0
0-0,-5.6,89,--,6.4-5.7,0.0,64.3,0.0,5.0,1.5,0.0,0.0
0-0,-6.4,90,--,6.2-5.9,0.0,62.6,0.0,5.7,1.0,0.0,0.0
0-0,-6.6,91,--,6.9-5.5,0.0,71.8,0.0,16.7,1.2,0.0,0.0
0-0,-6.7,92,--,4.7-6.4,0.0,33.2,0.0,4.7,0.7,0.0,0.0
0-0,-6.8,93,--,7.2-5.1,0.1,75.7,0.0,10.1,1.4,0.0,0.0
0-0,-7.0,94,--,7.2-5.1,0.0,76.9,0.0,14.1,1.2,0.0,0.0
0-0,-7.4,95,--,6.6-5.6,0.0,68.0,17.0,8.1,0.9,0.0,0.0
0-0,-7.7,96,--,7.4-4.9,0.2,77.9,0.0,14.4,1.3,0.0,0.0
0-0,-8.0,97,--,7.1-5.1,0.0,76.1,0.0,11.5,1.2,0.0,0.0
0-0,-8.1,98,--,4.4-6.7,0.0,27.6,0.0,4.2,0.5,0.0,0.0
0-0,-8.3,99,--,6.9-5.3,0.0,72.5,19.1,8.3,1.1,0.0,0.0
0-0,-8.3,100,--,6.6-5.6,0.0,68.3,0.0,6.5,0.9,0.0,0.0
0-0,-8.5,101,--,7.0-5.3,0.1,72.4,0.0,12.8,1.0,0.0,0.0
0-0,-8.6,102,--,5.5-6.5,0.0,49.2,0.0,1.8,0.5,0.0,0.0
0-0,-8.7,103,--,5.7-6.4,0.0,52.7,12.0,5.9,0.5,0.0,0.0
0-0,-8.8,104,--,6.5-5.6,0.0,67.4,12.3,5.8,0.7,0.0,0.0
0-0,-9.0,105,--,5.7-6.3,0.0,53.0,0.0,2.0,0.4,0.0,0.0
0-0,-9.0,106,--,6.5-5.8,0.0,65.5,0.0,11.4,0.8,0.0,0.0
0-0,-9.2,107,--,6.3-5.9,0.0,62.2,15.5,6.4,0.6,0.0,0.0
0-0,-9.6,108,--,5.6-6.5,0.0,49.6,12.2,5.5,0.4,0.0,0.0
0-0,-9.8,109,--,6.1-6.0,0.0,59.0,11.1,5.1,0.5,0.0,0.0
0-0,-10.3,110,--,5.7-6.5,0.0,51.0,0.0,8.4,0.4,0.0,0.0
0-0,-10.4,111,--,6.7-5.5,0.0,69.3,0.0,7.6,0.6,0.0,0.0
0-0,-10.5,112,--,5.4-6.7,0.0,47.3,10.3,4.3,0.3,0.0,0.0
0-0,-10.8,113,--,6.6-5.5,0.0,70.4,0.0,6.0,0.6,0.0,0.0
0-0,-11.2,114,--,4.8-7.2,0.0,35.1,0.0,0.0,0.1,0.0,0.0
0-0,-11.3,115,--,5.1-6.9,0.0,41.2,0.0,1.0,0.2,0.0,0.0
0-0,-11.9,116,--,4.8-7.3,0.0,37.0,0.0,2.8,0.2,0.0,0.0
0-0,-12.1,117,--,5.2-6.9,0.0,41.6,5.8,2.5,0.2,0.0,0.0
0-0,-12.4,118,--,3.6-7.5,0.0,15.7,0.0,1.3,0.1,0.0,0.0
0-0,-12.6,119,--,5.9-6.2,0.0,56.7,0.0,5.1,0.3,0.0,0.0
0-0,-12.8,120,--,5.6-6.6,0.0,49.9,0.0,4.4,0.2,0.0,0.0
0-0,-13.1,121,--,5.4-6.6,0.0,46.7,0.0,2.6,0.2,0.0,0.0
0-0,-13.4,122,--,4.0-8.0,0.0,21.4,0.0,0.5,0.1,0.0,0.0
0-0,-13.7,123,--,4.7-7.4,0.0,33.3,0.0,3.0,0.1,0.0,0.0
0-0,-14.3,124,--,5.0-8.0,0.0,40.0,0.0,1.9,0.1,0.0,0.0
0-0,-14.5,125,--,4.3-7.8,0.0,26.8,0.0,1.5,0.1,0.0,0.0
0-0,-14.6,126,--,3.9-8.1,0.0,20.1,0.0,0.4,0.1,0.0,0.0
0-0,-15.2,127,--,4.6-7.5,0.0,30.6,2.8,1.0,0.1,0.0,0.0
0-0,-15.5,128,--,4.0-8.0,0.0,20.5,0.0,0.2,0.0,0.0,0.0
0-0,-15.7,129,--,4.4-7.6,0.0,28.6,0.0,2.9,0.1,0.0,0.0
0-0,-16.1,130,--,4.7-7.4,0.0,33.5,0.0,2.3,0.1,0.0,0.0
0-0,-16.3,131,--,4.8-7.3,0.0,34.7,0.0,1.6,0.1,0.0,0.0
0-0,-16.6,132,--,4.1-8.0,0.0,21.7,0.0,1.0,0.0,0.0,0.0
0-0,-16.9,133,--,4.4-7.7,0.0,27.0,0.0,1.5,0.0,0.0,0.0
0-0,-17.3,134,--,4.2-7.8,0.0,25.3,0.0,1.2,0.1,0.0,0.0
0-0,-17.9,135,--,3.8-8.3,0.0,17.4,0.0,1.0,0.0,0.0,0.0
0-0,-18.4,136,--,3.9-8.2,0.0,20.5,0.0,1.2,0.0,0.0,0.0
0-0,-18.8,137,--,4.9-7.2,0.0,35.3,0.0,0.8,0.1,0.0,0.0
0-0,-19.3,138,--,3.4-8.6,0.0,15.2,1.5,0.3,0.0,0.0,0.0
