team,sp,off_sp,def_sp,st_sp
50. Cincinnati,4.5,29.6 (46),25.4 (65),0.3 (46)
51. Baylor,4.5,32.2 (23),28.3 (87),0.6 (2)
52. Miss. St.,3.9,30.1 (41),26.7 (76),0.5 (21)
53. Kentucky,3.8,25.0 (75),21.2 (36),0.0 (75)
54. N. Carolina,3.8,24.5 (80),21.1 (35),0.4 (32)
55. Maryland,3.8,26.1 (65),22.7 (43),0.3 (39)
56. California,3.7,29.2 (50),25.2 (62),-0.3 (95)
57. Kansas,3.7,29.0 (51),25.9 (70),0.6 (9)
58. Wake Forest,3.6,24.2 (83),20.7 (31),0.0 (78)
59. UNLV,2.8,31.2 (33),28.4 (89),0.1 (66)
60. UCF,2.3,24.5 (79),22.1 (41),-0.1 (83)
61. Wisconsin,1.8,20.6 (106),18.5 (22),-0.3 (97)
62. Rutgers,1.8,30.4 (37),28.7 (90),0.1 (68)
63. Navy,1.1,27.8 (58),26.9 (77),0.2 (56)
64. Iowa State,1.0,22.9 (94),22.4 (42),0.5 (27)
65. Colorado,0.9,26.3 (64),24.9 (57),-0.5 (116)
66. W. Virginia,0.8,26.3 (62),25.6 (66),0.1 (63)
67. Michigan St.,0.4,26.7 (61),25.9 (69),-0.4 (105)
68. New Mexico,-0.5,25.3 (68),26.4 (73),0.6 (13)
69. Syracuse,-0.7,23.9 (85),25.0 (59),0.4 (35)
70. Memphis,-1.1,28.3 (56),30.0 (95),0.5 (18)
71. SDSU,-1.3,23.1 (93),25.0 (60),0.6 (5)
72. NDSU,-1.4,24.4 (82),25.8 (67),0.0 (76)
73. UTSA,-1.5,29.5 (47),31.2 (102),0.1 (59)
74. Boston Coll.,-1.5,25.4 (67),27.4 (80),0.5 (28)
75. Stanford,-1.9,22.7 (97),24.0 (55),-0.6 (128)
76. ECU,-2.0,24.2 (84),26.0 (71),-0.2 (84)
77. JMU,-2.1,25.0 (76),26.7 (75),-0.4 (102)
78. Fresno St.,-2.3,20.6 (105),22.9 (47),0.0 (79)
79. Air Force,-2.4,25.3 (70),27.7 (83),0.1 (65)
80. USF,-2.8,27.5 (59),30.1 (98),-0.3 (91)
81. Miami-OH,-2.9,19.5 (111),22.9 (48),0.5 (16)
82. Purdue,-2.9,23.8 (86),27.4 (79),0.6 (4)
83. Army,-3.0,24.5 (81),27.6 (82),0.1 (64)
84. Hawaii,-3.9,25.3 (69),29.8 (93),0.6 (8)
85. Wash. St.,-5.3,19.9 (110),25.1 (61),-0.1 (81)
86. WKU,-5.3,25.2 (73),31.0 (101),0.5 (24)
87. Tulane,-5.5,22.2 (99),28.3 (86),0.6 (14)
88. ODU,-5.8,20.2 (109),25.3 (63),-0.7 (134)
89. Texas St.,-5.9,31.8 (26),37.8 (129),0.1 (61)
90. Troy,-6.0,23.6 (90),29.8 (94),0.2 (52)
91. Oregon St.,-6.3,20.9 (104),26.5 (74),-0.7 (137)
92. Marshall,-6.4,28.5 (54),35.2 (124),0.3 (48)
93. Liberty,-6.4,25.5 (66),31.7 (104),-0.2 (88)
94. FAU,-7.1,27.2 (60),34.9 (120),0.5 (20)
95. WMU,-7.2,19.0 (112),25.8 (68),-0.4 (106)
96. Tulsa,-7.6,23.5 (91),31.7 (103),0.5 (23)
97. Utah St.,-7.7,23.7 (87),30.9 (100),-0.5 (117)
98. J'ville State,-7.7,24.8 (77),32.0 (107),-0.5 (126)
99. Colorado St.,-8.3,18.8 (113),27.0 (78),-0.1 (82)
100. La. Tech,-8.3,22.3 (98),30.6 (99),0.0 (70)
101. Arkansas St.,-8.5,23.7 (88),32.3 (111),0.1 (62)
102. Temple,-8.7,25.2 (74),34.3 (117),0.3 (38)
103. Ga. Southern,-8.9,23.2 (92),32.1 (109),0.0 (72)
104. Louisiana,-9.1,25.2 (72),33.9 (116),-0.5 (115)
105. Kennesaw St.,-9.3,21.3 (101),30.1 (97),-0.5 (127)
106. Wyoming,-9.6,16.0 (124),25.0 (58),-0.6 (130)
107. UConn,-11.2,20.3 (107),32.1 (108),0.6 (15)
108. Toledo,-11.5,16.7 (121),27.9 (84),-0.4 (108)
109. North Texas,-11.8,23.6 (89),35.2 (123),-0.2 (90)
110. Buffalo,-11.9,15.7 (126),28.1 (85),0.6 (12)
111. App. St.,-12.1,21.2 (102),33.6 (115),0.3 (40)
112. Nevada,-12.2,17.4 (117),30.0 (96),0.4 (37)
113. CMU,-12.4,17.4 (116),29.6 (92),-0.2 (86)
114. Delaware,-13.0,22.7 (96),35.4 (126),-0.3 (98)
115. BGSU,-13.3,14.8 (128),28.3 (88),0.3 (43)
116. S. Alabama,-13.3,22.7 (95),35.4 (125),-0.7 (136)
117. Ohio,-13.6,13.3 (134),26.2 (72),-0.6 (132)
118. FIU,-13.7,21.5 (100),35.0 (122),-0.3 (92)
119. Coastal Caro.,-13.8,21.1 (103),34.4 (118),-0.5 (112)
120. Rice,-14.7,17.0 (119),32.2 (110),0.5 (25)
121. EMU,-15.0,17.8 (115),32.8 (112),0.0 (73)
122. SJSU,-15.5,18.6 (114),33.6 (114),-0.5 (120)
123. NMSU,-16.4,17.0 (118),33.4 (113),-0.1 (80)
124. UAB,-18.1,20.3 (108),37.9 (132),-0.5 (123)
125. NIU,-18.2,13.8 (132),31.8 (105),-0.2 (85)
126. Missouri St.,-18.7,16.7 (122),34.9 (121),-0.5 (122)
127. Akron,-19.5,13.0 (135),31.9 (106),-0.6 (131)
128. Kent St.,-20.1,15.9 (125),35.5 (127),-0.5 (121)
129. UTEP,-20.5,14.7 (129),34.7 (119),-0.5 (114)
130. Sac State,-22.7,15.1 (127),37.9 (131),0.0 (76)
131. So. Miss,-23.3,16.4 (123),39.2 (133),-0.4 (110)
132. UL-Monroe,-24.3,14.3 (130),37.9 (130),-0.7 (138)
133. Georgia St.,-25.1,17.0 (120),41.4 (137),-0.7 (133)
134. Ball State,-25.2,12.2 (136),36.7 (128),-0.7 (135)
135. MTSU,-26.0,13.7 (133),39.9 (134),0.2 (57)
136. Sam Houston,-26.3,14.1 (131),40.0 (135),-0.4 (107)
137. UMass,-30.9,9.6 (138),40.1 (136),-0.5 (124)
138. Charlotte,-32.4,10.4 (137),42.3 (138),-0.5 (111)
