Home,Road,line,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linesuper,linedunk,linebill,linebihl,lineround,linefei,linemedian,lineharville,linesaggm,lineespn,linefox,lineopen,linepig,linecons,linecong,linepibias,linel2,lineteamrank,lineash,linepimean,lineca,linekeep,linekerns,linel2hf,linelog,lineatom,linedwig,linepiratings,linecather,linetalis,linedonchess,linefeng,linemidweek,lineclean,linecurry,linepugh,linestd,vscore,hscore,week,actual,total,phcover,phwin,season,closing_home_margin,tracker_week,pt_home_norm,pt_away_norm,cfbd_matched,cfbd_candidate_count,cfbd_exact_score_count,cfbd_match_score,game_id,home_team_cfbd,away_team_cfbd,home_norm,away_norm,home_score_cfbd,away_score_cfbd,neutral_site,conference_game,home_conference,away_conference,home_classification,away_classification,venue,start_date,linewayward,linebig200,linecfp,linefluker,home_sp_plus,away_sp_plus,sp_snapshot_week,away_sp_snapshot_week,home_sp_name,away_sp_name,home_sp_match_score,away_sp_match_score,neutral_sp_plus_difference,hfa_residual,neutral_residual
Northwestern,Indiana,-13.5,-8.83,14.41,-6.73,-13.27,-15.42,-7.81,-13.96,-10.0,8.0,-7.0,-9.11,17.85,-5.84,4.03,-8.79,-14.01,0.0,-12.15,-7.87,,-5.78,5.73,,-17.0,-6.4,-8.76,-11.79,-5.78,-15.76,,-11.5,-10.0,-19.6,6.16,-4.4,,-16.3,,-4.0,-13.5,-17.88,-16.75,,,,-27.0,-3.0,,-1.44,-13.1,,-14.0,0.5,-2.02,-26.02,9.79,41,24,6.0,-17,65,0.5996971185,0.3186975216,2024,-13.5,7,northwestern,indiana,True,1,1,1.0,401628503,Northwestern,Indiana,northwestern,indiana,24.0,41.0,True,True,Big Ten,Big Ten,fbs,fbs,Lanny and Sharon Martin Stadium,2024-10-05T19:30:00.000Z,-8.69,-15.51,-8.1,,-3.5,11.1,4.0,4.0,Northwestern,Indiana,1.0,1.0,-14.6,1.0999999999999996,1.0999999999999996
Oklahoma,Texas,-15.5,-10.28,-5.53,-8.1,-14.46,-9.17,-10.48,-14.23,-9.0,-1.32,-11.5,-8.55,-7.79,-13.88,-13.68,-11.83,-22.69,-17.0,-10.7,-8.47,,-16.1,-6.23,,-15.0,-12.9,-11.55,-9.8,-10.24,-15.79,,-15.0,-10.0,-6.3,-14.62,-16.1,,-11.6,,-14.8,-15.0,-13.11,-14.35,,,,-12.0,-13.9,,-10.84,-16.5,,-14.5,-6.0,-17.2,-11.43,4.04,34,3,7.0,-31,37,0.5886362856,0.2350941205,2024,-15.5,8,oklahoma,texas,True,1,1,1.0,401628390,Oklahoma,Texas,oklahoma,texas,3.0,34.0,True,True,SEC,SEC,fbs,fbs,Cotton Bowl,2024-10-12T19:30:00.000Z,-8.1,-21.19,-6.5,,16.1,30.5,6.0,6.0,Oklahoma,Texas,1.0,1.0,-14.399999999999999,-1.1000000000000014,-1.1000000000000014
Kansas,Houston,5.5,5.18,18.26,9.47,15.42,3.56,9.36,4.83,2.0,18.42,2.0,7.29,18.17,9.57,-2.03,5.9,1.39,4.0,7.85,7.12,,2.49,3.07,0.34,-4.0,6.1,5.18,4.58,4.1,10.09,,7.0,3.0,1.77,16.52,7.4,,8.0,,7.6,5.5,-0.35,1.05,,,,2.0,7.8,,13.03,5.4,,5.5,7.5,6.36,2.01,5.4,14,42,8.0,28,56,0.5095150816,0.6375179662,2024,5.5,9,kansas,houston,True,1,1,1.0,401636901,Kansas,Houston,kansas,houston,42.0,14.0,True,True,Big 12,Big 12,fbs,fbs,GEHA Field at Arrowhead Stadium,2024-10-19T19:30:00.000Z,2.9,5.66,4.8,,6.2,-2.1,7.0,7.0,Kansas,Houston,1.0,1.0,8.3,-2.8000000000000007,-2.8000000000000007
Northwestern,Wisconsin,-8.0,-7.68,3.5,-9.57,-6.83,-7.22,-11.47,-10.79,-3.0,-0.88,-3.0,-7.86,5.85,-7.29,-3.39,-4.94,-1.75,-5.0,-1.95,-7.96,,0.35,6.24,-1.28,-1.0,-8.0,-6.06,-5.39,-6.21,-7.61,,-7.5,,-7.7,-1.13,-8.0,,-7.2,,-7.6,-8.0,-11.04,-13.05,,,,-12.0,-5.9,,-2.28,-10.5,,-7.0,0.5,-1.98,-7.94,4.89,23,3,8.0,-20,26,0.5730801555,0.3830792947,2024,-8.0,9,northwestern,wisconsin,True,1,1,1.0,401628522,Northwestern,Wisconsin,northwestern,wisconsin,3.0,23.0,True,True,Big Ten,Big Ten,fbs,fbs,Lanny and Sharon Martin Stadium,2024-10-19T16:00:00.000Z,-5.03,-7.25,0.2,,1.8,11.2,7.0,7.0,Northwestern,Wisconsin,1.0,1.0,-9.399999999999999,1.3999999999999986,1.3999999999999986
Navy,Notre Dame,-14.0,-13.55,-24.23,-23.86,-9.36,-10.37,-11.26,-17.32,-13.0,-33.88,-16.5,-13.1,-19.04,-17.91,-7.04,-14.92,0.01,1.0,-23.05,-15.47,,-16.17,-4.85,-9.96,-15.0,-12.1,-15.0,-22.31,-12.95,-20.59,,-13.0,-15.0,-3.5,-21.53,-25.4,-11.71,-16.7,,-23.6,-14.0,-16.34,-11.95,,15.4,,-20.0,-25.0,,-21.71,-13.0,,-13.0,-7.0,-16.42,-15.58,7.34,51,14,9.0,-37,65,0.4790230426,0.1967944341,2024,-14.0,10,navy,notre dame,True,1,1,1.0,401628983,Navy,Notre Dame,navy,notre dame,14.0,51.0,True,False,American Athletic,FBS Independents,fbs,fbs,MetLife Stadium,2024-10-26T16:00:00.000Z,-10.63,-5.22,-11.1,,3.3,22.7,8.0,8.0,Navy,Notre Dame,1.0,1.0,-19.4,5.399999999999999,5.399999999999999
Florida Intl.,New Mexico St.,9.0,7.57,-13.29,0.85,9.45,12.48,8.55,9.0,8.0,-14.67,4.5,9.82,-12.53,7.1,6.05,7.66,10.06,7.0,12.55,18.14,,5.56,0.17,16.03,,11.1,8.0,6.29,4.69,12.18,,10.0,4.0,4.91,7.58,5.7,21.77,13.9,,6.2,9.0,15.19,18.5,31.79,0.82,,10.0,5.3,,16.14,7.3,,9.0,5.0,-0.7,17.21,7.74,13,34,10.0,21,47,0.469761923,0.6677450789,2024,9.0,11,florida international,new mexico st,True,1,1,1.0,401640985,Florida International,New Mexico State,florida international,new mexico st,34.0,13.0,True,True,Conference USA,Conference USA,fbs,fbs,Pitbull Stadium,2024-10-29T23:00:00.000Z,8.8,11.79,3.1,,-17.7,-18.3,9.0,9.0,FIU,New Mexico,1.0,0.8696,0.6000000000000014,8.399999999999999,8.399999999999999
Georgia,Florida,14.5,11.93,25.57,16.25,13.84,6.45,10.87,11.67,12.0,23.69,16.0,9.22,26.58,17.48,11.61,13.94,11.45,8.0,14.0,10.47,,17.34,16.88,9.43,14.0,13.8,13.65,11.16,16.55,12.44,,17.0,14.0,9.8,17.07,19.7,9.84,14.2,,18.4,14.5,3.06,13.05,16.9,2.48,,8.0,18.2,,7.91,23.5,,16.0,9.0,18.92,8.15,5.05,20,34,10.0,14,54,0.4865921319,0.7986391177,2024,14.5,11,georgia,florida,True,1,1,1.0,401628408,Georgia,Florida,georgia,florida,34.0,20.0,True,True,SEC,SEC,fbs,fbs,EverBank Stadium,2024-11-02T19:30:00.000Z,10.48,15.01,19.7,,25.6,13.0,9.0,9.0,Georgia,Florida,1.0,1.0,12.600000000000001,1.8999999999999986,1.8999999999999986
Kansas,Iowa St.,-3.0,-3.49,6.65,-4.61,-3.68,-6.31,-6.51,-2.21,-13.0,5.57,-16.5,-0.37,7.23,-5.56,-9.23,-6.2,-3.26,-11.0,-14.45,-6.83,,2.19,-8.7,-10.77,-16.0,-9.7,-5.87,-5.87,-8.12,-1.89,,-3.5,-3.0,-17.57,-4.66,-5.3,-9.85,-3.8,,-4.6,-3.5,-2.23,-11.55,-12.53,-3.07,,-9.0,-4.6,,-7.05,-3.4,,-3.0,1.0,-4.33,-9.37,5.72,36,45,11.0,9,81,0.4247889087,0.3566377056,2024,-3.0,12,kansas,iowa st,True,1,1,1.0,401636919,Kansas,Iowa State,kansas,iowa st,45.0,36.0,True,True,Big 12,Big 12,fbs,fbs,GEHA Field at Arrowhead Stadium,2024-11-09T20:30:00.000Z,-7.07,-12.72,,,6.2,13.0,10.0,10.0,Kansas,Iowa St.,1.0,1.0,-6.8,3.8,3.8
Northwestern,Ohio St.,-28.5,-21.83,-15.0,-28.76,-30.99,-22.09,-25.43,-29.01,-19.0,-20.43,-22.5,-19.41,-12.08,-27.87,-11.91,-23.71,-21.56,-21.0,-22.35,-25.47,,-20.57,-15.23,-22.14,-24.0,-31.8,-24.0,-24.19,-21.24,-26.61,,-30.5,-26.0,-22.89,-21.54,-26.2,-26.8,-28.0,,-26.1,-28.0,-27.61,-25.4,-25.19,-21.84,,-32.0,-23.6,,-27.29,-29.5,,-28.5,-10.0,-29.49,-31.21,5.4,31,7,12.0,-24,38,0.6124335056,0.078677563,2024,-28.5,13,northwestern,ohio st,True,1,1,1.0,401628550,Northwestern,Ohio State,northwestern,ohio st,7.0,31.0,True,True,Big Ten,Big Ten,fbs,fbs,Wrigley Field,2024-11-16T17:00:00.000Z,-23.17,-23.22,,,-4.0,29.7,11.0,11.0,Northwestern,Ohio St.,1.0,1.0,-33.7,5.200000000000003,5.200000000000003
Kansas,Colorado,-2.5,-0.94,16.26,3.03,-0.36,-4.1,-3.98,-1.74,-5.0,14.91,-9.0,0.67,16.98,2.45,-5.21,-1.03,-1.88,-8.0,-4.05,-0.23,,-3.09,-2.91,-5.21,,-1.4,-1.95,-1.28,-2.13,-1.59,,-2.0,-2.0,-7.0,3.5,-0.5,-4.97,0.5,,-0.9,-2.5,-3.66,-6.0,-7.97,-0.78,,-4.0,-0.9,,-4.18,-1.9,,-3.0,5.0,-2.09,-3.3,5.53,21,37,13.0,16,58,0.5348411347,0.4755716735,2024,-2.5,14,kansas,colorado,True,1,1,1.0,401636932,Kansas,Colorado,kansas,colorado,37.0,21.0,True,True,Big 12,Big 12,fbs,fbs,GEHA Field at Arrowhead Stadium,2024-11-23T20:30:00.000Z,-0.26,-3.79,,,6.4,10.4,12.0,12.0,Kansas,Colorado,1.0,1.0,-4.0,1.5,1.5
Notre Dame,Army,14.0,20.64,25.64,22.51,11.89,17.96,17.46,25.47,6.0,36.81,11.5,19.84,19.63,23.51,7.37,18.28,13.17,3.0,28.55,13.1,,28.33,4.77,14.27,,9.7,19.59,21.59,19.64,17.47,,17.0,24.0,10.44,22.42,26.6,21.6,22.4,,25.3,14.5,19.74,12.75,9.89,-7.42,,24.0,26.0,,16.28,14.0,,14.5,3.0,18.66,18.51,7.66,14,49,13.0,35,63,0.5959291254,0.8501572541,2024,14.0,14,notre dame,army,True,1,1,1.0,401640959,Notre Dame,Army,notre dame,army,49.0,14.0,True,False,FBS Independents,American Athletic,fbs,fbs,Yankee Stadium,2024-11-24T00:00:00.000Z,19.54,9.34,,,23.4,9.0,12.0,12.0,Notre Dame,Army,1.0,1.0,14.399999999999999,-0.3999999999999986,-0.3999999999999986
Northwestern,Illinois,-9.5,-8.82,8.09,-6.98,-12.93,-7.11,-15.0,-11.83,-10.0,6.26,-12.0,-8.36,9.07,-11.66,-8.18,-8.05,-8.54,-12.0,-9.75,-6.89,,-6.75,-3.52,-7.98,-11.0,-11.1,-8.36,-9.44,-8.07,-8.36,,-9.0,-12.0,-18.2,-1.49,-8.7,-8.13,-8.1,,-6.8,-9.5,-10.61,-6.35,-9.46,-2.27,,-15.0,-7.1,,-9.41,-4.6,,-7.5,-1.0,-14.23,-12.78,5.51,38,28,14.0,-10,66,0.5343840715,0.315938573,2024,-9.5,15,northwestern,illinois,True,1,1,1.0,401628563,Northwestern,Illinois,northwestern,illinois,28.0,38.0,True,True,Big Ten,Big Ten,fbs,fbs,Wrigley Field,2024-11-30T17:00:00.000Z,-7.52,-12.69,,,-10.4,7.2,13.0,13.0,Northwestern,Illinois,1.0,1.0,-17.6,8.100000000000001,8.100000000000001
Arizona St.,Iowa St.,1.5,-1.14,-13.25,-6.44,-1.58,-1.28,0.56,1.13,-1.0,-16.02,-1.5,-1.02,-11.75,-1.5,0.22,-1.47,0.84,1.0,5.0,-7.11,,6.29,2.35,-2.08,-2.0,0.01,-1.02,-1.81,-3.41,-1.78,,-1.0,5.0,-1.05,-8.65,-1.0,-2.06,-2.8,,-0.3,1.0,3.1,-1.05,0.93,-0.07,,1.0,-0.2,,-0.51,0.9,,2.0,-3.5,1.97,-0.19,4.4,19,45,15.0,26,64,0.4284652168,0.4644491808,2024,1.5,16,arizona state,iowa st,True,1,1,1.0,401673465,Arizona State,Iowa State,arizona state,iowa st,45.0,19.0,True,True,Big 12,Big 12,fbs,fbs,AT&T Stadium,2024-12-07T17:00:00.000Z,-2.15,0.26,,,10.8,10.9,14.0,14.0,Arizona St.,Iowa St.,1.0,1.0,-0.09999999999999964,1.5999999999999996,1.5999999999999996
Oregon,Penn St.,3.0,1.95,4.62,0.11,-1.53,0.63,-1.09,1.21,2.0,5.44,6.0,1.42,4.18,0.05,5.6,2.47,2.76,2.0,1.8,0.79,,2.03,7.2,2.0,3.0,3.3,2.0,1.13,3.61,-1.3,,3.5,3.0,1.55,5.49,4.2,2.07,0.2,,3.6,3.0,0.38,-0.2,3.58,17.95,,1.0,3.4,,0.53,7.0,,3.5,1.5,7.37,-0.09,2.39,37,45,15.0,8,82,0.4868308339,0.5611430754,2024,3.0,16,oregon,penn st,True,1,1,1.0,401673464,Oregon,Penn State,oregon,penn st,45.0,37.0,True,True,Big Ten,Big Ten,fbs,fbs,Lucas Oil Stadium,2024-12-08T01:00:00.000Z,0.88,3.88,,,28.7,24.2,14.0,14.0,Oregon,Penn St.,1.0,1.0,4.5,-1.5,-1.5
SMU,Clemson,3.0,4.4,-1.16,-0.84,2.46,2.88,2.97,6.52,8.0,1.47,12.5,3.53,-2.58,-0.99,7.27,3.36,4.57,5.0,6.1,-0.44,,4.74,4.73,3.92,6.0,2.2,3.56,3.56,4.04,1.32,,-1.0,3.0,4.2,2.42,-0.3,3.25,1.1,,-0.9,3.0,6.29,0.55,10.0,1.32,,4.0,-1.3,,3.7,1.7,,2.5,7.0,11.1,4.05,3.19,34,31,15.0,-3,65,0.5088689207,0.582193132,2024,3.0,16,smu,clemson,True,1,1,1.0,401673463,SMU,Clemson,smu,clemson,31.0,34.0,True,True,ACC,ACC,fbs,fbs,Bank of America Stadium,2024-12-08T01:00:00.000Z,0.99,4.01,,,21.7,16.1,14.0,14.0,SMU,Clemson,1.0,1.0,5.599999999999998,-2.599999999999998,-2.599999999999998
Texas,Georgia,3.0,2.75,-5.14,-0.75,11.04,4.27,2.42,5.76,8.0,-7.13,9.0,1.99,-4.07,3.45,6.21,3.25,3.18,6.0,3.4,2.2,,2.01,5.29,4.26,5.0,5.8,3.2,4.05,0.46,4.21,,2.0,1.0,1.7,4.07,0.9,6.19,3.6,,1.6,3.0,4.72,8.4,8.49,0.38,,3.0,1.9,,4.74,3.2,,3.0,3.0,0.53,5.66,3.46,22,19,15.0,-3,41,0.5061385456,0.5792751826,2024,3.0,16,texas,georgia,True,2,1,1.0,401673469,Texas,Georgia,texas,georgia,19.0,22.0,True,True,SEC,SEC,fbs,fbs,Mercedes-Benz Stadium,2024-12-07T21:00:00.000Z,1.54,2.79,,,26.8,26.6,14.0,14.0,Texas,Georgia,1.0,1.0,0.1999999999999993,2.8000000000000007,2.8000000000000007
Army,Navy,6.5,5.73,3.69,5.13,9.06,3.76,5.11,5.29,5.0,2.17,9.0,6.73,4.51,4.96,7.7,6.13,6.36,6.0,9.6,3.09,,9.48,6.93,3.74,,6.9,5.9,5.93,5.77,5.87,,3.5,3.0,9.45,4.48,7.3,4.92,4.4,,7.1,6.5,4.62,7.85,1.5,1.94,,5.0,7.6,,6.08,6.5,,6.5,,4.87,6.85,1.83,31,13,16.0,-18,44,0.4907634051,0.649369336,2024,6.5,17,army,navy,True,1,1,1.0,401645383,Army,Navy,army,navy,13.0,31.0,True,True,American Athletic,American Athletic,fbs,fbs,Northwest Stadium,2024-12-14T20:00:00.000Z,5.9,9.85,,,10.9,2.7,14.0,14.0,Army,Navy,1.0,1.0,8.2,-1.6999999999999993,-1.6999999999999993
Arkansas,Arkansas St.,23.5,19.9,,22.25,17.74,14.98,24.44,22.46,,,10.0,20.17,,18.36,7.61,20.34,15.66,4.0,,21.29,,,18.04,,,18.6,19.29,19.11,19.47,15.95,,21.5,13.0,25.04,14.93,32.7,,25.7,,30.2,23.0,35.75,26.0,,,,23.0,34.3,,19.9,13.7,,23.5,10.0,18.29,20.06,6.99,14,56,2.0,42,70,0.4277252186,0.8795150655,2025,23.5,3,arkansas,arkansas st,True,1,1,1.0,401752682,Arkansas,Arkansas State,arkansas,arkansas st,56.0,14.0,True,False,SEC,Sun Belt,fbs,fbs,War Memorial Stadium (AR),2025-09-06T21:00:00.000Z,18.87,18.3,,18.0,12.6,-6.2,1.0,1.0,Arkansas,Arkansas St.,1.0,1.0,18.8,4.699999999999999,4.699999999999999
Texas,Oklahoma,0.0,2.12,,4.96,-13.3,-8.55,-14.35,5.34,,,-5.0,3.65,,4.38,-8.73,-2.2,-6.41,-12.0,,0.58,,1.0,-2.65,-14.66,,-0.2,-0.26,-0.4,-2.16,2.73,,3.0,4.0,-9.8,8.97,1.5,,0.2,,1.9,0.0,-5.83,-3.17,,,,-8.0,1.3,,-0.26,3.3,,1.0,12.5,-0.25,-7.4,6.89,6,23,7.0,17,29,0.4494246702,0.4494246702,2025,0.0,8,texas,oklahoma,True,1,1,1.0,401752736,Texas,Oklahoma,texas,oklahoma,23.0,6.0,True,True,SEC,SEC,fbs,fbs,Cotton Bowl,2025-10-11T19:30:00.000Z,-2.91,-15.82,,5.0,18.1,25.8,6.0,6.0,Texas,Oklahoma,1.0,1.0,-7.699999999999999,7.699999999999999,7.699999999999999
Sam Houston St.,UTEP,-3.0,-0.22,,4.39,-14.56,-7.01,-2.26,-2.02,,,4.5,-1.41,,3.11,-4.0,-0.65,-0.69,-8.0,,1.28,,-1.1,11.25,-4.74,,-0.9,-0.69,2.55,1.8,-2.47,,-2.5,,2.87,4.07,2.1,,-3.0,,1.4,-3.0,-5.51,-2.35,,,,-13.0,2.8,,-0.38,-2.7,,-3.0,11.5,5.32,-7.9,5.77,35,17,8.0,-18,52,0.5553292016,0.4846505732,2025,-3.0,9,sam houston,utep,True,1,1,1.0,401757284,Sam Houston,UTEP,sam houston,utep,17.0,35.0,True,True,Conference USA,Conference USA,fbs,fbs,BBVA Compass Stadium,2025-10-15T23:00:00.000Z,0.14,-5.15,,-4.2,-22.9,-15.5,7.0,7.0,Sam Houston,UTEP,1.0,1.0,-7.399999999999999,4.399999999999999,4.399999999999999
Florida,Georgia,-7.0,-6.48,,-14.24,-12.52,-10.25,-9.61,-8.53,,,-12.5,-4.13,,-16.42,-7.6,-10.37,-8.26,-11.0,,-7.84,,-11.01,-9.26,,,-17.0,-9.61,-9.96,-8.53,-9.31,,-7.5,,-12.25,-4.94,-7.9,-12.71,-9.0,,-8.3,-7.5,-9.6,-20.58,0.3,-2.82,,-13.0,-6.7,,-8.1,-9.0,,-7.0,-7.5,-15.23,-10.94,3.48,24,20,10.0,-4,44,0.4178600468,0.2617003588,2025,-7.0,11,florida,georgia,True,1,1,1.0,401752755,Florida,Georgia,florida,georgia,20.0,24.0,True,True,SEC,SEC,fbs,fbs,EverBank Stadium,2025-11-01T19:30:00.000Z,-14.05,-12.78,,-10.4,9.1,19.2,9.0,9.0,Florida,Georgia,1.0,1.0,-10.1,3.0999999999999996,3.0999999999999996
Northwestern,Michigan,-10.0,-7.03,,-15.61,-10.45,-7.06,-4.19,-4.45,,,-6.0,-7.07,,-10.18,-5.5,-8.79,-4.94,-8.0,,-12.52,,-4.14,-3.61,-7.7,,-9.5,-9.03,-12.06,-10.86,-9.06,,-9.5,,-10.15,-6.57,-10.8,-8.17,-10.3,,-10.7,-10.0,-10.33,-11.57,-0.05,-2.2,,-6.0,-10.4,,-10.65,-17.0,,-12.0,-10.5,-7.78,-12.85,3.45,24,22,12.0,-2,46,0.5296891255,0.294212984,2025,-10.0,13,northwestern,michigan,True,1,1,1.0,401752905,Northwestern,Michigan,northwestern,michigan,22.0,24.0,True,True,Big Ten,Big Ten,fbs,fbs,Wrigley Field,2025-11-15T17:00:00.000Z,-7.1,-8.68,,-10.4,1.7,15.7,11.0,11.0,Northwestern,Michigan,1.0,1.0,-14.0,4.0,4.0
Sam Houston St.,Delaware,-11.0,-5.56,,1.34,-17.59,-7.67,-6.47,-6.11,,,-9.5,-4.27,,-4.57,-9.33,-6.08,-5.98,-15.0,,-6.89,,3.61,-1.6,-8.11,,-6.6,-6.5,-4.26,-7.59,-3.74,,-8.0,,-6.3,-4.26,-6.1,-7.59,-6.7,,-5.4,-10.0,-8.65,-12.67,7.42,-3.29,,-11.0,-5.4,,-6.66,-9.6,,-9.5,6.0,-6.52,-9.12,4.52,23,26,12.0,3,49,0.6171755093,0.3563069232,2025,-11.0,13,sam houston,delaware,True,1,1,1.0,401757300,Sam Houston,Delaware,sam houston,delaware,26.0,23.0,True,True,Conference USA,Conference USA,fbs,fbs,BBVA Compass Stadium,2025-11-16T00:00:00.000Z,-4.07,-6.82,,-8.3,-25.1,-10.7,11.0,11.0,Sam Houston,Delaware,1.0,1.0,-14.400000000000002,3.400000000000002,3.400000000000002
Northwestern,Minnesota,4.0,2.55,,0.95,4.12,7.39,0.49,5.93,,,3.5,3.3,,5.05,3.32,4.14,5.84,-1.0,,4.77,,4.5,0.07,6.53,,4.0,4.0,-0.05,-1.22,3.77,,4.0,,2.1,-1.9,1.5,10.13,3.3,,1.3,4.0,8.74,11.47,23.39,-0.08,,10.0,0.5,,5.81,2.6,,3.5,-5.5,5.34,4.95,3.83,35,38,13.0,3,73,0.5034201359,0.6000665027,2025,4.0,14,northwestern,minnesota,True,1,1,1.0,401752909,Northwestern,Minnesota,northwestern,minnesota,38.0,35.0,True,True,Big Ten,Big Ten,fbs,fbs,Wrigley Field,2025-11-22T17:00:00.000Z,7.05,5.75,,3.0,1.0,1.8,12.0,12.0,Northwestern,Minnesota,1.0,1.0,-0.8,4.8,4.8
Michigan St.,Maryland,4.0,5.75,,1.65,2.55,2.77,5.4,9.93,,,3.5,6.32,,-0.23,-0.02,3.1,1.97,-3.0,,4.06,,8.34,-0.67,1.52,,-3.2,2.77,2.14,2.17,1.04,,4.5,,0.01,6.83,7.8,3.41,4.7,,7.6,4.0,7.81,5.55,-12.12,-1.37,,2.0,7.4,,0.75,-3.1,,4.0,-0.5,6.19,-0.42,3.44,28,38,14.0,10,66,0.4779054974,0.5756824679,2025,4.0,15,michigan st,maryland,True,1,1,1.0,401752923,Michigan State,Maryland,michigan st,maryland,38.0,28.0,True,True,Big Ten,Big Ten,fbs,fbs,Ford Field,2025-11-30T00:00:00.000Z,4.04,-5.39,,,-5.2,0.6,13.0,13.0,Michigan St.,Maryland,1.0,1.0,-5.8,9.8,9.8
Sam Houston St.,Florida Intl.,-11.0,-8.92,,-1.71,-13.95,-9.76,-14.53,-11.09,,,-11.5,-8.32,,-3.64,-9.58,-8.37,-9.95,-14.0,,-6.82,,-10.94,-2.96,-9.23,,-10.4,-8.92,-5.39,-8.95,-6.57,,-10.0,,-8.05,-0.76,-5.6,-8.69,-8.5,,-5.4,-11.0,-13.22,-10.88,-13.2,-2.15,,-18.0,-4.0,,-10.21,-17.0,,-10.0,8.0,-13.52,-11.44,5.0,56,16,14.0,-40,72,0.5627822874,0.3075092664,2025,-11.0,15,sam houston,florida international,True,1,1,1.0,401757311,Sam Houston,Florida International,sam houston,florida international,16.0,56.0,True,True,Conference USA,Conference USA,fbs,fbs,BBVA Compass Stadium,2025-11-29T18:00:00.000Z,-6.76,-6.75,,,-25.4,-9.7,13.0,13.0,Sam Houston,FIU,1.0,1.0,-15.7,4.699999999999999,4.699999999999999
Alabama,Georgia,-1.5,-1.3,,0.84,3.15,0.38,-0.26,-1.15,,,-3.0,-0.07,,0.13,1.21,-0.14,-2.06,1.0,,-1.72,,-0.3,-4.16,0.23,,-1.3,0.1,3.1,-3.16,0.25,,-1.5,,-1.37,0.97,0.1,2.0,2.6,,-0.2,-1.5,1.44,-2.3,16.55,-0.84,,1.0,0.1,,0.67,-1.9,,-2.5,-3.5,-5.83,2.31,2.09,28,7,15.0,-21,35,0.5338446254,0.4965118492,2025,-1.5,16,alabama,georgia,True,1,1,1.0,401777351,Alabama,Georgia,alabama,georgia,7.0,28.0,True,False,SEC,SEC,fbs,fbs,Mercedes-Benz Stadium,2025-12-06T21:00:00.000Z,0.48,-0.67,,4.1,20.6,23.4,14.0,14.0,Alabama,Georgia,1.0,1.0,-2.799999999999997,1.2999999999999972,1.2999999999999972
Ohio St.,Indiana,4.0,0.71,,4.91,-1.12,-1.94,4.9,0.28,,,3.5,0.06,,1.28,5.31,0.55,4.29,-2.0,,-0.26,,-1.96,4.9,-2.47,,-0.1,0.23,-1.95,2.25,-0.09,,5.5,,0.17,0.69,1.8,-4.54,0.01,,2.8,3.5,-1.22,6.62,-8.93,-9.75,,-6.0,1.8,,-2.44,3.3,,4.0,-1.0,5.26,-3.05,3.16,13,10,15.0,-3,23,0.4156034052,0.5135538809,2025,4.0,16,ohio st,indiana,True,1,1,1.0,401777353,Ohio State,Indiana,ohio st,indiana,10.0,13.0,True,False,Big Ten,Big Ten,fbs,fbs,Lucas Oil Stadium,2025-12-07T01:00:00.000Z,2.75,-7.27,,0.4,32.4,31.5,14.0,14.0,Ohio St.,Indiana,1.0,1.0,0.8999999999999986,3.1000000000000014,3.1000000000000014
Texas Tech,BYU,12.5,9.64,,4.77,6.08,5.4,10.36,15.38,,,2.0,8.96,,7.89,7.48,9.04,9.87,7.0,,13.24,,13.46,1.01,7.11,,7.4,9.4,4.53,6.82,4.23,,11.5,,1.05,8.8,11.1,11.11,9.6,,11.8,12.0,11.02,26.5,10.24,-0.21,,13.0,10.0,,9.2,14.0,,13.0,0.01,11.15,8.5,4.93,7,34,15.0,27,41,0.4175495987,0.7067377416,2025,12.5,16,texas tech,byu,True,2,1,1.0,401777327,Texas Tech,BYU,texas tech,byu,34.0,7.0,True,False,Big 12,Big 12,fbs,fbs,AT&T Stadium,2025-12-06T17:00:00.000Z,7.99,1.35,,13.3,29.9,18.2,14.0,14.0,Texas Tech,BYU,1.0,1.0,11.7,0.8000000000000007,0.8000000000000007
Virginia,Duke,4.0,3.32,,1.97,15.86,5.03,2.54,2.28,,,9.0,2.91,,2.14,8.76,3.58,3.48,5.0,,3.85,,1.48,4.8,5.03,,5.0,3.45,3.0,4.97,1.54,,2.5,,6.65,-4.98,0.1,5.47,3.0,,-0.4,4.0,6.42,12.65,0.69,0.84,,5.0,-15.3,,5.28,2.3,,4.5,-6.0,2.01,6.04,4.97,27,20,15.0,-7,47,0.4899276224,0.5852058074,2025,4.0,16,virginia,duke,True,1,1,1.0,401777328,Virginia,Duke,virginia,duke,20.0,27.0,True,False,ACC,ACC,fbs,fbs,Bank of America Stadium,2025-12-07T01:00:00.000Z,3.42,7.83,,0.7,12.1,4.8,14.0,14.0,Virginia,Duke,1.0,1.0,7.3,-3.3,-3.3
