rule_id,category,market,trigger,historical_record,historical_pct,sample_size,source,source_quality,validated,current_2026_occurrences,strength_values,example_evidence,score_literal,provisional_priority,priority_rationale
High Overall RP vs Low Overall RP,Returning production,Total,Virginia Tech returning production edge,18-21-1,69.0,40.0,matchups_view angles,Historical angle,False,1.0,Fade,"Virginia Tech triggers High Overall RP vs Low Overall RP vs Old Dominion. 2026 RP: Virginia Tech overall 69.0% #4, off 71.0% #9, def 67.0% #8. Opponent RP: overall 40.0% #114, off 23.0% #136, def 58.0% #45. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Georgia returning production edge,18-21-1,68.0,40.0,matchups_view angles,Historical angle,False,1.0,Fade,"Georgia triggers High Overall RP vs Low Overall RP vs Western Kentucky. 2026 RP: Georgia overall 68.0% #8, off 63.0% #32, def 72.0% #5. Opponent RP: overall 32.0% #133, off 37.0% #118, def 26.0% #134. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Minnesota returning production edge,18-21-1,68.0,40.0,matchups_view angles,Historical angle,False,1.0,Fade,"Minnesota triggers High Overall RP vs Low Overall RP vs Akron. 2026 RP: Minnesota overall 68.0% #7, off 71.0% #10, def 65.0% #12. Opponent RP: overall 40.0% #115, off 44.0% #103, def 37.0% #119. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Houston returning production edge,18-21-1,65.0,40.0,matchups_view angles,Historical angle,False,2.0,Fade,"Houston triggers High Overall RP vs Low Overall RP vs Georgia Southern. 2026 RP: Houston overall 65.0% #17, off 71.0% #7, def 58.0% #44. Opponent RP: overall 43.0% #108, off 23.0% #134, def 62.0% #23. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Oklahoma returning production edge,18-21-1,65.0,40.0,matchups_view angles,Historical angle,False,2.0,Fade,"Oklahoma triggers High Overall RP vs Low Overall RP vs UTEP. 2026 RP: Oklahoma overall 65.0% #16, off 75.0% #3, def 55.0% #57. Opponent RP: overall 35.0% #126, off 27.0% #129, def 43.0% #99. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Texas A&M returning production edge,18-21-1,65.0,40.0,matchups_view angles,Historical angle,False,1.0,Fade,"Texas A&M triggers High Overall RP vs Low Overall RP vs Missouri State. 2026 RP: Texas A&M overall 65.0% #14, off 67.0% #21, def 63.0% #18. Opponent RP: overall 34.0% #128, off 25.0% #132, def 44.0% #95. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,USC returning production edge,18-21-1,65.0,40.0,matchups_view angles,Historical angle,False,1.0,Fade,"USC triggers High Overall RP vs Low Overall RP vs San Jose State. 2026 RP: USC overall 65.0% #13, off 67.0% #22, def 64.0% #16. Opponent RP: overall 24.0% #137, off 24.0% #133, def 23.0% #137. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Washington returning production edge,18-21-1,65.0,40.0,matchups_view angles,Historical angle,False,1.0,Fade,"Washington triggers High Overall RP vs Low Overall RP vs Washington State. 2026 RP: Washington overall 65.0% #15, off 69.0% #13, def 61.0% #27. Opponent RP: overall 42.0% #109, off 48.0% #86, def 36.0% #121. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Michigan returning production edge,18-21-1,63.0,40.0,matchups_view angles,Historical angle,False,3.0,Fade,"Michigan triggers High Overall RP vs Low Overall RP vs UTEP. 2026 RP: Michigan overall 63.0% #20, off 72.0% #6, def 55.0% #55. Opponent RP: overall 35.0% #126, off 27.0% #129, def 43.0% #99. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Delaware returning production edge,2-7-0,62.0,40.0,matchups_view angles,Historical angle,False,3.0,Fade,"Delaware triggers High Overall RP vs Low Overall RP vs Vanderbilt. 2026 RP: Delaware overall 62.0% #25, off 62.0% #38, def 62.0% #24. Opponent RP: overall 44.0% #106, off 38.0% #115, def 49.0% #80. Projected role: Underdog. 2023–25 early-season High Overall RP vs Low Overall RP Underdogs: 2-7-0 ATS, 22.2%, -5.10 ATS margin over 9 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Eastern Michigan returning production edge,18-21-1,62.0,40.0,matchups_view angles,Historical angle,False,2.0,Fade,"Eastern Michigan triggers High Overall RP vs Low Overall RP vs Sacramento State. 2026 RP: Eastern Michigan overall 62.0% #24, off 59.0% #52, def 64.0% #15. Opponent RP: overall 32.0% #131, off 21.0% #137, def 42.0% #101. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,SMU returning production edge,18-21-1,62.0,40.0,matchups_view angles,Historical angle,False,2.0,Fade,"SMU triggers High Overall RP vs Low Overall RP vs Missouri State. 2026 RP: SMU overall 62.0% #22, off 66.0% #23, def 58.0% #38. Opponent RP: overall 34.0% #128, off 25.0% #132, def 44.0% #95. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Central Florida returning production edge,18-21-1,61.0,40.0,matchups_view angles,Historical angle,False,2.0,Fade,"Central Florida triggers High Overall RP vs Low Overall RP vs Georgia State. 2026 RP: Central Florida overall 61.0% #29, off 61.0% #41, def 60.0% #37. Opponent RP: overall 38.0% #121, off 48.0% #83, def 27.0% #133. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Ole Miss returning production edge,18-21-1,61.0,40.0,matchups_view angles,Historical angle,False,2.0,Fade,"Ole Miss triggers High Overall RP vs Low Overall RP vs Charlotte. 2026 RP: Ole Miss overall 61.0% #28, off 61.0% #42, def 62.0% #25. Opponent RP: overall 43.0% #107, off 52.0% #75, def 34.0% #126. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Arizona returning production edge,18-21-1,60.0,40.0,matchups_view angles,Historical angle,False,1.0,Fade,"Arizona triggers High Overall RP vs Low Overall RP vs Washington State. 2026 RP: Arizona overall 60.0% #32, off 66.0% #24, def 55.0% #56. Opponent RP: overall 42.0% #109, off 48.0% #86, def 36.0% #121. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Ohio State returning production edge,18-21-1,60.0,40.0,matchups_view angles,Historical angle,False,1.0,Fade,"Ohio State triggers High Overall RP vs Low Overall RP vs Ball State. 2026 RP: Ohio State overall 60.0% #31, off 71.0% #8, def 50.0% #78. Opponent RP: overall 36.0% #123, off 47.0% #89, def 24.0% #136. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,San Diego State returning production edge,18-21-1,59.0,40.0,matchups_view angles,Historical angle,False,2.0,Fade,"San Diego State triggers High Overall RP vs Low Overall RP vs James Madison. 2026 RP: San Diego State overall 59.0% #34, off 76.0% #1, def 43.0% #100. Opponent RP: overall 30.0% #136, off 27.0% #128, def 32.0% #130. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Defense RP vs Low Offense RP,Returning production,Total,Notre Dame returning production edge,17-20-0,72.0,37.0,matchups_view angles,Historical angle,False,1.0,Fade,"Notre Dame triggers High Defense RP vs Low Offense RP vs Rice. 2026 RP: Notre Dame overall 72.0% #1, off 67.0% #19, def 77.0% #2. Opponent RP: overall 39.0% #120, off 40.0% #113, def 38.0% #113. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Defense RP vs Low Offense RP,Returning production,Total,Maryland returning production edge,17-20-0,71.0,37.0,matchups_view angles,Historical angle,False,1.0,Fade,"Maryland triggers High Defense RP vs Low Offense RP vs Connecticut. 2026 RP: Maryland overall 71.0% #2, off 68.0% #17, def 74.0% #4. Opponent RP: overall 31.0% #134, off 25.0% #131, def 37.0% #117. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Defense RP vs Low Offense RP,Returning production,Total,Nebraska returning production edge,17-20-0,69.0,37.0,matchups_view angles,Historical angle,False,3.0,Fade,"Nebraska triggers High Defense RP vs Low Offense RP vs Ohio. 2026 RP: Nebraska overall 69.0% #3, off 69.0% #14, def 69.0% #7. Opponent RP: overall 33.0% #129, off 18.0% #138, def 48.0% #81. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Defense RP vs Low Offense RP,Returning production,Total,Virginia Tech returning production edge,17-20-0,69.0,37.0,matchups_view angles,Historical angle,False,2.0,Fade,"Virginia Tech triggers High Defense RP vs Low Offense RP vs Old Dominion. 2026 RP: Virginia Tech overall 69.0% #4, off 71.0% #9, def 67.0% #8. Opponent RP: overall 40.0% #114, off 23.0% #136, def 58.0% #45. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Defense RP vs Low Offense RP,Returning production,Total,Georgia returning production edge,17-20-0,68.0,37.0,matchups_view angles,Historical angle,False,1.0,Fade,"Georgia triggers High Defense RP vs Low Offense RP vs Western Kentucky. 2026 RP: Georgia overall 68.0% #8, off 63.0% #32, def 72.0% #5. Opponent RP: overall 32.0% #133, off 37.0% #118, def 26.0% #134. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Defense RP vs Low Offense RP,Returning production,Total,Texas A&M returning production edge,17-20-0,65.0,37.0,matchups_view angles,Historical angle,False,4.0,Fade,"Texas A&M triggers High Defense RP vs Low Offense RP vs Missouri State. 2026 RP: Texas A&M overall 65.0% #14, off 67.0% #21, def 63.0% #18. Opponent RP: overall 34.0% #128, off 25.0% #132, def 44.0% #95. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Defense RP vs Low Offense RP,Returning production,Total,USC returning production edge,17-20-0,65.0,37.0,matchups_view angles,Historical angle,False,1.0,Fade,"USC triggers High Defense RP vs Low Offense RP vs San Jose State. 2026 RP: USC overall 65.0% #13, off 67.0% #22, def 64.0% #16. Opponent RP: overall 24.0% #137, off 24.0% #133, def 23.0% #137. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Defense RP vs Low Offense RP,Returning production,Total,Washington returning production edge,17-20-0,65.0,37.0,matchups_view angles,Historical angle,False,2.0,Fade,"Washington triggers High Defense RP vs Low Offense RP vs Utah State. 2026 RP: Washington overall 65.0% #15, off 69.0% #13, def 61.0% #27. Opponent RP: overall 48.0% #89, off 40.0% #110, def 55.0% #52. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Defense RP vs Low Offense RP,Returning production,Total,BYU returning production edge,17-20-0,64.0,37.0,matchups_view angles,Historical angle,False,2.0,Fade,"BYU triggers High Defense RP vs Low Offense RP vs Colorado State. 2026 RP: BYU overall 64.0% #18, off 59.0% #50, def 69.0% #6. Opponent RP: overall 46.0% #99, off 38.0% #116, def 54.0% #63. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Defense RP vs Low Offense RP,Returning production,Total,Delaware returning production edge,17-20-0,62.0,37.0,matchups_view angles,Historical angle,False,3.0,Fade,"Delaware triggers High Defense RP vs Low Offense RP vs Vanderbilt. 2026 RP: Delaware overall 62.0% #25, off 62.0% #38, def 62.0% #24. Opponent RP: overall 44.0% #106, off 38.0% #115, def 49.0% #80. Projected role: Underdog. 2023–25 early-season High Defense RP vs Low Offense RP Underdogs: 4-8-1 ATS, 33.3%, -4.45 ATS margin over 13 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Defense RP vs Low Offense RP,Returning production,Total,Eastern Michigan returning production edge,17-20-0,62.0,37.0,matchups_view angles,Historical angle,False,4.0,Fade,"Eastern Michigan triggers High Defense RP vs Low Offense RP vs Sacramento State. 2026 RP: Eastern Michigan overall 62.0% #24, off 59.0% #52, def 64.0% #15. Opponent RP: overall 32.0% #131, off 21.0% #137, def 42.0% #101. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Defense RP vs Low Offense RP,Returning production,Total,Tennessee returning production edge,17-20-0,62.0,37.0,matchups_view angles,Historical angle,False,4.0,Fade,"Tennessee triggers High Defense RP vs Low Offense RP vs Georgia Tech. 2026 RP: Tennessee overall 62.0% #26, off 58.0% #53, def 65.0% #13. Opponent RP: overall 49.0% #79, off 37.0% #117, def 61.0% #28. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Defense RP vs Low Offense RP,Returning production,Total,Clemson returning production edge,17-20-0,53.0,37.0,matchups_view angles,Historical angle,False,2.0,Fade,"Clemson triggers High Defense RP vs Low Offense RP vs Georgia Southern. 2026 RP: Clemson overall 53.0% #59, off 46.0% #94, def 61.0% #26. Opponent RP: overall 43.0% #108, off 23.0% #134, def 62.0% #23. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Exclude or context,Historical performance/sample does not clear provisional floor
High Defense RP vs Low Offense RP,Returning production,Total,North Dakota State returning production edge,4-8-1,52.0,37.0,matchups_view angles,Historical angle,False,4.0,Fade,"North Dakota State triggers High Defense RP vs Low Offense RP vs Air Force. 2026 RP: North Dakota State overall 52.0% #65, off 45.0% #97, def 60.0% #34. Opponent RP: overall 59.0% #37, off 42.0% #108, def 75.0% #3. Projected role: Underdog. 2023–25 early-season High Defense RP vs Low Offense RP Underdogs: 4-8-1 ATS, 33.3%, -4.45 ATS margin over 13 games.",,Exclude or context,Historical performance/sample does not clear provisional floor
High Defense RP vs Low Offense RP,Returning production,Total,Alabama returning production edge,17-20-0,48.0,37.0,matchups_view angles,Historical angle,False,4.0,Fade,"Alabama triggers High Defense RP vs Low Offense RP vs East Carolina. 2026 RP: Alabama overall 48.0% #90, off 35.0% #119, def 61.0% #32. Opponent RP: overall 42.0% #110, off 33.0% #122, def 50.0% #75. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Exclude or context,Historical performance/sample does not clear provisional floor
High Defense RP vs Low Offense RP,Returning production,Total,Navy returning production edge,17-20-0,47.0,37.0,matchups_view angles,Historical angle,False,2.0,Fade,"Navy triggers High Defense RP vs Low Offense RP vs UAB. 2026 RP: Navy overall 47.0% #93, off 33.0% #121, def 61.0% #31. Opponent RP: overall 35.0% #125, off 32.0% #123, def 38.0% #114. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Exclude or context,Historical performance/sample does not clear provisional floor
High Offense RP vs Low Defense RP,Returning production,Total,Notre Dame returning production edge,18-17-0,72.0,35.0,matchups_view angles,Historical angle,False,2.0,Medium,"Notre Dame triggers High Offense RP vs Low Defense RP vs Rice. 2026 RP: Notre Dame overall 72.0% #1, off 67.0% #19, def 77.0% #2. Opponent RP: overall 39.0% #120, off 40.0% #113, def 38.0% #113. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,Maryland returning production edge,18-17-0,71.0,35.0,matchups_view angles,Historical angle,False,2.0,Medium,"Maryland triggers High Offense RP vs Low Defense RP vs Connecticut. 2026 RP: Maryland overall 71.0% #2, off 68.0% #17, def 74.0% #4. Opponent RP: overall 31.0% #134, off 25.0% #131, def 37.0% #117. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,Nebraska returning production edge,18-17-0,69.0,35.0,matchups_view angles,Historical angle,False,2.0,Medium,"Nebraska triggers High Offense RP vs Low Defense RP vs Bowling Green. 2026 RP: Nebraska overall 69.0% #3, off 69.0% #14, def 69.0% #7. Opponent RP: overall 35.0% #124, off 32.0% #124, def 38.0% #112. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,Georgia returning production edge,18-17-0,68.0,35.0,matchups_view angles,Historical angle,False,2.0,Medium,"Georgia triggers High Offense RP vs Low Defense RP vs Western Kentucky. 2026 RP: Georgia overall 68.0% #8, off 63.0% #32, def 72.0% #5. Opponent RP: overall 32.0% #133, off 37.0% #118, def 26.0% #134. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,Minnesota returning production edge,18-17-0,68.0,35.0,matchups_view angles,Historical angle,False,2.0,Medium,"Minnesota triggers High Offense RP vs Low Defense RP vs Akron. 2026 RP: Minnesota overall 68.0% #7, off 71.0% #10, def 65.0% #12. Opponent RP: overall 40.0% #115, off 44.0% #103, def 37.0% #119. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,South Carolina returning production edge,18-17-0,68.0,35.0,matchups_view angles,Historical angle,False,2.0,Medium,"South Carolina triggers High Offense RP vs Low Defense RP vs Kent State. 2026 RP: South Carolina overall 68.0% #5, off 76.0% #2, def 61.0% #30. Opponent RP: overall 48.0% #87, off 57.0% #56, def 39.0% #108. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,USC returning production edge,18-17-0,65.0,35.0,matchups_view angles,Historical angle,False,2.0,Medium,"USC triggers High Offense RP vs Low Defense RP vs San Jose State. 2026 RP: USC overall 65.0% #13, off 67.0% #22, def 64.0% #16. Opponent RP: overall 24.0% #137, off 24.0% #133, def 23.0% #137. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,Washington returning production edge,18-17-0,65.0,35.0,matchups_view angles,Historical angle,False,2.0,Medium,"Washington triggers High Offense RP vs Low Defense RP vs Washington State. 2026 RP: Washington overall 65.0% #15, off 69.0% #13, def 61.0% #27. Opponent RP: overall 42.0% #109, off 48.0% #86, def 36.0% #121. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,Michigan returning production edge,18-17-0,63.0,35.0,matchups_view angles,Historical angle,False,2.0,Medium,"Michigan triggers High Offense RP vs Low Defense RP vs Iowa. 2026 RP: Michigan overall 63.0% #20, off 72.0% #6, def 55.0% #55. Opponent RP: overall 44.0% #104, off 48.0% #84, def 40.0% #105. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,New Mexico returning production edge,18-17-0,63.0,35.0,matchups_view angles,Historical angle,False,2.0,Medium,"New Mexico triggers High Offense RP vs Low Defense RP vs Central Michigan. 2026 RP: New Mexico overall 63.0% #21, off 68.0% #16, def 58.0% #40. Opponent RP: overall 46.0% #100, off 62.0% #36, def 29.0% #131. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
