snapshot_date,season,source,team,raw_team,conference,record,record_decimal,rank,rating,power_rank,power,off_rank,off_rating,def_rank,def_rating,hfa,sos_rank,sos,ssf_rank,ssf,expected_wins,expected_losses,source_url,pulled_at,notes
2026-07-29,2026,Massey Ratings,Texas Tech,Texas Tech,Big 12,0-0,0.0,11,8.65,10,70.51,8,63.03,13,35.45,2.19,1,0.0,68,52.41,10.15,1.85,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Michigan,Michigan,Big 10,0-0,0.0,12,8.63,13,69.9,18,60.63,6,37.24,2.22,1,0.0,2,62.34,7.88,4.12,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Utah,Utah,Big 12,0-0,0.0,13,8.62,12,70.15,10,62.95,14,35.16,2.29,1,0.0,52,56.51,9.33,2.67,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,USC,USC,Big 10,0-0,0.0,14,8.53,14,68.42,9,63.0,23,33.39,2.28,1,0.0,5,62.28,7.56,4.44,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Washington,Washington,Big 10,0-0,0.0,15,8.5,15,67.92,16,60.74,15,35.15,2.23,1,0.0,20,60.81,7.81,4.19,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Iowa,Iowa,Big 10,0-0,0.0,16,8.5,19,67.36,35,58.16,7,37.17,2.23,1,0.0,32,58.44,8.21,3.79,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Oklahoma,Oklahoma,Southeastern,0-0,0.0,17,8.5,18,67.43,26,59.27,12,36.13,2.32,1,0.0,4,62.33,7.29,4.71,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Texas A&M,Texas A&M,Southeastern,0-0,0.0,18,8.49,17,67.46,17,60.66,17,34.77,2.29,1,0.0,18,60.91,7.63,4.37,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Tennessee,Tennessee,Southeastern,0-0,0.0,19,8.46,16,67.86,7,63.52,31,32.31,2.27,1,0.0,22,60.52,7.82,4.18,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,BYU,BYU,Big 12,0-0,0.0,20,8.34,20,65.13,24,59.46,22,33.64,2.25,1,0.0,33,58.38,7.72,4.28,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Missouri,Missouri,Southeastern,0-0,0.0,21,8.3,22,64.53,27,58.53,19,33.96,2.23,1,0.0,19,60.86,6.86,5.14,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Louisville,Louisville,Atlantic Coast,0-0,0.0,22,8.3,21,64.6,20,59.72,27,32.85,2.33,1,0.0,54,56.15,8.19,3.81,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,LSU,LSU,Southeastern,0-0,0.0,23,8.29,24,64.23,32,58.24,20,33.95,2.27,1,0.0,12,61.31,6.66,5.34,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Iowa State,Iowa St,Big 12,0-0,0.0,24,8.26,26,63.87,37,57.97,21,33.87,2.32,1,0.0,49,56.67,7.79,4.21,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,SMU,SMU,Atlantic Coast,0-0,0.0,25,8.26,25,63.98,19,59.79,32,32.15,2.35,1,0.0,62,54.41,8.46,3.54,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Vanderbilt,Vanderbilt,Southeastern,0-0,0.0,26,8.24,23,64.37,15,61.21,42,31.13,2.11,1,0.0,21,60.74,6.89,5.11,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Clemson,Clemson,Atlantic Coast,0-0,0.0,27,8.24,27,63.45,29,58.36,26,33.06,2.18,1,0.0,59,54.96,8.14,3.86,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,TCU,TCU,Big 12,0-0,0.0,28,8.23,28,63.45,21,59.57,34,31.85,2.33,1,0.0,46,57.19,7.57,4.43,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Kansas State,Kansas St,Big 12,0-0,0.0,29,8.21,29,63.38,23,59.56,35,31.79,2.29,1,0.0,55,55.8,7.93,4.07,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Illinois,Illinois,Big 10,0-0,0.0,30,8.21,30,63.08,31,58.26,28,32.78,2.19,1,0.0,41,57.91,7.35,4.65,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Arizona,Arizona,Big 12,0-0,0.0,31,8.18,31,62.74,33,58.18,30,32.53,2.22,1,0.0,28,58.64,7.04,4.96,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Auburn,Auburn,Southeastern,0-0,0.0,32,8.18,32,62.57,41,57.27,24,33.26,2.25,1,0.0,15,61.02,6.28,5.72,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,South Carolina,South Carolina,Southeastern,0-0,0.0,33,8.15,33,62.25,44,57.0,25,33.22,2.21,1,0.0,16,60.95,6.2,5.8,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Florida,Florida,Southeastern,0-0,0.0,34,8.12,34,61.67,45,56.89,29,32.76,2.35,1,0.0,7,62.14,5.75,6.25,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Arizona State,Arizona St,Big 12,0-0,0.0,35,8.03,36,60.06,48,56.67,40,31.36,2.16,1,0.0,47,57.15,6.67,5.33,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Florida State,Florida St,Atlantic Coast,0-0,0.0,36,8.03,35,60.54,43,57.06,39,31.44,2.31,1,0.0,34,58.24,6.51,5.49,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Wisconsin,Wisconsin,Big 10,0-0,0.0,37,8.02,40,59.59,78,53.1,18,34.46,2.24,1,0.0,38,58.05,6.3,5.7,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Georgia Tech,Georgia Tech,Atlantic Coast,0-0,0.0,38,8.01,38,59.96,36,57.98,46,29.95,2.19,1,0.0,44,57.42,6.65,5.35,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Nebraska,Nebraska,Big 10,0-0,0.0,39,8.0,41,59.52,55,55.6,33,31.88,2.3,1,0.0,11,61.35,5.48,6.52,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Arkansas,Arkansas,Southeastern,0-0,0.0,40,7.98,37,60.01,22,59.56,61,28.42,2.11,1,0.0,8,62.12,5.36,6.64,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Kentucky,Kentucky,Southeastern,0-0,0.0,41,7.98,42,59.47,52,55.76,37,31.68,2.28,1,0.0,3,62.33,5.18,6.82,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Pittsburgh,Pittsburgh,Atlantic Coast,0-0,0.0,42,7.98,39,59.64,34,58.18,49,29.43,2.26,1,0.0,64,54.02,7.42,4.58,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Duke,Duke,Atlantic Coast,0-0,0.0,43,7.96,43,59.19,30,58.35,58,28.81,2.24,1,0.0,50,56.58,6.65,5.35,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Virginia,Virginia,Atlantic Coast,0-0,0.0,44,7.96,45,58.87,54,55.66,41,31.17,2.21,1,0.0,67,52.49,7.6,4.4,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Kansas,Kansas,Big 12,0-0,0.0,45,7.93,44,58.95,40,57.52,52,29.4,2.32,1,0.0,51,56.55,6.53,5.47,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,NC State,NC State,Atlantic Coast,0-0,0.0,46,7.92,46,58.53,42,57.12,53,29.38,2.33,1,0.0,65,53.46,7.3,4.7,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Houston,Houston,Big 12,0-0,0.0,47,7.9,48,58.01,56,55.58,43,30.39,2.19,1,0.0,60,54.66,6.81,5.19,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,James Madison,James Madison,Sun Belt,0-0,0.0,48,7.89,49,57.92,46,56.81,57,29.08,2.28,1,0.0,122,42.01,9.8,2.2,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Minnesota,Minnesota,Big 10,0-0,0.0,49,7.89,52,57.71,72,53.99,38,31.68,2.29,1,0.0,26,59.35,5.43,6.57,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Cincinnati,Cincinnati,Big 12,0-0,0.0,50,7.87,50,57.86,50,56.4,50,29.43,2.33,1,0.0,35,58.14,5.88,6.12,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Northwestern,Northwestern,Big 10,0-0,0.0,51,7.87,53,57.36,76,53.59,36,31.73,2.23,1,0.0,6,62.27,4.7,7.3,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Baylor,Baylor,Big 12,0-0,0.0,52,7.86,47,58.11,28,58.53,72,27.55,2.27,1,0.0,42,57.72,6.02,5.98,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Mississippi State,Mississippi St,Southeastern,0-0,0.0,53,7.86,51,57.75,39,57.52,63,28.19,2.28,1,0.0,13,61.14,4.99,7.01,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Boise State,Boise St,Pac 12,0-0,0.0,54,7.85,54,57.11,53,55.71,54,29.36,2.31,1,0.0,74,50.12,7.24,3.76,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Tulane,Tulane,American Athletic,0-0,0.0,55,7.84,57,56.73,60,55.07,48,29.62,2.29,1,0.0,76,49.11,8.02,3.98,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Michigan State,Michigan St,Big 10,0-0,0.0,56,7.82,55,56.86,58,55.17,47,29.66,2.24,1,0.0,14,61.04,4.87,7.13,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Washington State,Washington St,Pac 12,0-0,0.0,57,7.82,58,56.56,67,54.42,44,30.11,2.27,1,0.0,69,52.15,6.51,4.49,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Rutgers,Rutgers,Big 10,0-0,0.0,58,7.79,56,56.77,47,56.77,65,27.97,2.22,1,0.0,39,57.93,5.55,6.45,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Maryland,Maryland,Big 10,0-0,0.0,59,7.79,59,56.53,59,55.07,51,29.43,2.22,1,0.0,40,57.92,5.56,6.44,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,UCLA,UCLA,Big 10,0-0,0.0,60,7.78,60,56.34,69,54.28,45,30.02,2.24,1,0.0,30,58.61,5.39,6.61,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Wake Forest,Wake Forest,Atlantic Coast,0-0,0.0,61,7.78,62,56.18,61,55.04,56,29.1,2.23,1,0.0,56,55.51,6.05,5.95,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,South Florida,South Florida,American Athletic,0-0,0.0,62,7.73,61,56.19,38,57.89,80,26.26,2.24,1,0.0,99,45.08,8.68,3.32,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Central Florida,UCF,Big 12,0-0,0.0,63,7.72,63,55.43,68,54.29,55,29.11,2.38,1,0.0,57,55.34,5.92,6.08,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,North Texas,North Texas,American Athletic,0-0,0.0,64,7.69,64,55.25,25,59.43,96,23.79,2.24,1,0.0,81,48.11,7.79,4.21,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Memphis,Memphis,American Athletic,0-0,0.0,65,7.68,65,54.88,51,55.86,77,26.98,2.25,1,0.0,82,48.07,7.74,4.26,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,East Carolina,East Carolina,American Athletic,0-0,0.0,66,7.68,66,54.62,63,54.54,64,28.04,2.23,1,0.0,90,46.54,8.04,3.96,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,West Virginia,West Virginia,Big 12,0-0,0.0,67,7.66,67,54.47,62,54.96,73,27.48,2.29,1,0.0,48,57.15,5.24,6.76,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Virginia Tech,Virginia Tech,Atlantic Coast,0-0,0.0,68,7.65,69,54.19,74,53.95,62,28.2,2.32,1,0.0,53,56.23,5.34,6.66,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,California,California,Atlantic Coast,0-0,0.0,69,7.65,70,54.09,70,54.25,67,27.81,2.33,1,0.0,61,54.43,5.8,6.2,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Colorado,Colorado,Big 12,0-0,0.0,70,7.64,68,54.34,64,54.51,68,27.79,2.35,1,0.0,31,58.54,4.84,7.16,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,North Dakota State,N Dakota St,Mountain West,0-0,0.0,71,7.62,71,53.47,66,54.44,76,27.0,2.2,1,0.0,127,41.04,9.12,2.88,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Navy,Navy,American Athletic,0-0,0.0,72,7.59,73,53.15,71,54.09,75,27.03,2.16,1,0.0,85,47.26,7.53,4.47,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,North Carolina,North Carolina,Atlantic Coast,0-0,0.0,73,7.57,75,52.79,79,53.01,69,27.75,2.33,1,0.0,27,58.97,4.28,7.72,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Purdue,Purdue,Big 10,0-0,0.0,74,7.57,74,53.01,77,53.36,71,27.61,2.3,1,0.0,9,61.95,3.68,8.32,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,UTSA,UT San Antonio,American Athletic,0-0,0.0,75,7.56,72,53.33,49,56.47,88,24.83,2.35,1,0.0,83,48.05,7.33,4.67,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Toledo,Toledo,Mid-American,0-0,0.0,76,7.56,76,52.5,84,51.96,60,28.51,2.26,1,0.0,134,39.31,9.19,2.81,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Army,Army,American Athletic,0-0,0.0,77,7.54,80,51.83,90,51.03,59,28.76,2.19,1,0.0,93,46.08,7.47,4.53,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,UNLV,UNLV,Mountain West,0-0,0.0,78,7.53,77,52.3,57,55.49,89,24.77,2.2,1,0.0,89,46.6,7.55,4.45,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Old Dominion,Old Dominion,Sun Belt,0-0,0.0,79,7.53,78,52.12,80,52.69,74,27.39,2.2,1,0.0,107,44.1,8.03,3.97,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Boston College,Boston College,Atlantic Coast,0-0,0.0,80,7.5,79,52.05,73,53.97,85,26.04,2.24,1,0.0,37,58.1,4.37,7.63,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,San Diego State,San Diego St,Pac 12,0-0,0.0,81,7.46,82,50.79,92,50.86,66,27.9,2.27,1,0.0,75,49.97,5.65,5.35,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Fresno State,Fresno St,Pac 12,0-0,0.0,82,7.45,81,50.82,89,51.15,70,27.64,2.24,1,0.0,77,48.92,5.96,5.04,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Stanford,Stanford,Atlantic Coast,0-0,0.0,83,7.43,83,50.67,83,52.08,78,26.56,2.28,1,0.0,36,58.12,4.02,7.98,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Oklahoma State,Oklahoma St,Big 12,0-0,0.0,84,7.39,84,49.97,85,51.64,79,26.3,2.38,1,0.0,43,57.45,4.0,8.0,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Syracuse,Syracuse,Atlantic Coast,0-0,0.0,85,7.37,85,49.88,81,52.58,87,25.27,2.34,1,0.0,45,57.27,4.05,7.95,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Ohio,Ohio,Mid-American,0-0,0.0,86,7.34,88,48.7,95,50.41,81,26.26,2.21,1,0.0,132,40.11,8.19,3.81,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Oregon State,Oregon St,Pac 12,0-0,0.0,87,7.31,87,48.83,93,50.74,84,26.06,2.46,1,0.0,72,51.11,4.94,6.06,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Utah State,Utah St,Pac 12,0-0,0.0,88,7.31,86,48.98,75,53.82,99,23.13,2.31,1,0.0,70,51.87,4.79,6.21,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Texas State,Texas St,Pac 12,0-0,0.0,89,7.28,89,48.58,65,54.5,106,22.05,2.27,1,0.0,73,50.64,4.99,6.01,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Western Michigan,W Michigan,Mid-American,0-0,0.0,90,7.24,94,46.97,103,49.21,86,25.73,2.25,1,0.0,114,43.1,7.1,4.9,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Miami-OH,Miami OH,Mid-American,0-0,0.0,91,7.24,95,46.62,112,48.34,82,26.24,2.25,1,0.0,125,41.41,7.39,4.61,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Western Kentucky,WKU,Conference USA,0-0,0.0,92,7.23,93,47.25,91,51.01,91,24.21,2.28,1,0.0,112,43.25,5.94,4.06,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
