"Name","School","Conference","Overall","Routes","Hands","Run Block","Pass Block"
"Jayvontay Conner","Vand","SEC","12.91","13.33","12.47","10.75","13.20"
"Jude James","Mizz","SEC","12.91","12.92","13.85","12.13","13.32"
"Ethan Davis","Tenn","SEC","12.90","14.31","14.50","11.21","11.72"
"Luke Hasz","Miss","SEC","12.90","14.29","16.57","10.60","13.77"
"Alex Honig","NW","Big10","12.88","11.50","10.21","12.55","13.50"
"Dylan Wade","UCF","Big12","12.82","14.29","14.96","7.99","11.44"
"Elija Lofton","MiaFL","ACC","12.82","12.79","13.61","12.28","13.55"
"Luke Harpring","Fla","SEC","12.81","13.43","15.22","11.32","12.03"
"Willie Rodriguez","UK","SEC","12.78","12.52","16.66","12.11","13.29"
"Pearce Spurlin III","ColSt","Pac12","12.75","12.71","13.20","12.51","11.06"
"Cooper Flanagan","ND","Inde","12.75","11.91","14.13","12.55","13.50"
"Zy'aire Fletcher","Kent","MAC","12.73","12.07","11.10","11.95","10.79"
"Luke Lindenmeyer","Neb","Big10","12.73","11.99","14.71","12.58","13.61"
"Christian Bentancur","Clem","ACC","12.72","12.59","16.64","11.90","14.19"
"George Burhenn","Purd","Big10","12.64","13.19","12.41","10.64","9.35"
"Randy Pittman Jr.","SMU","ACC","12.61","12.49","14.74","11.51","12.63"
"Robby Preckel","NW","Big10","12.57","11.77","12.68","8.14","11.47"
"Cade Keith","UNM","MWC","12.55","13.60","15.29","9.04","11.95"
"Rocky Beers","OU","SEC","12.49","13.22","16.14","10.11","11.31"
"Cole Spence","Vand","SEC","12.43","13.70","13.48","10.35","11.28"
"Houston Thomas","A&M","SEC","12.41","12.93","14.03","10.41","13.46"
"Parker Poloskey","Army","Amer","12.39","10.49","9.58","13.43","12.08"
"Nate Levicki","WMich","MAC","12.38","14.11","13.51","0.17","0.17"
"Pierce Walsh","Minn","Big10","12.34","9.22","13.49","14.86","14.07"
"Dorian Thomas","Cal","ACC","12.33","13.86","17.19","8.47","10.08"
"Luke Reynolds","VT","ACC","12.31","11.75","13.00","12.62","12.48"
"Mack Sutter","Bama","SEC","12.25","12.25","12.25","12.25","12.25"
"Brock Harris","BYU","Big12","12.25","12.25","12.25","12.25","12.25"
"Grant Stec","Wisc","Big10","12.23","13.61","14.54","10.66","10.92"
"Eli Jacon-Duffy","BG","MAC","12.19","10.08","11.89","12.32","10.00"
"Carter Nelson","Neb","Big10","12.16","11.30","14.50","13.84","10.07"
"Jordon Harris","Mizz","SEC","12.14","9.90","8.93","13.32","13.29"
"Eli Finley","LATech","SBC","12.07","12.84","14.94","10.38","12.57"
"Lawson Luckie","UGA","SEC","12.06","11.68","13.09","11.93","13.64"
"Carson Bruhn","KU","Big12","12.03","10.98","6.25","12.41","12.92"
"Traville Frederick Jr.","Hou","Big12","12.01","11.42","13.35","12.38","12.26"
"Landen Thomas","FSU","ACC","12.00","13.01","12.69","9.60","12.09"
"Keyan Burnett","UNLV","MWC","12.00","12.10","14.99","12.45","12.59"
"Andrew Rappleyea","PSU","Big10","11.98","12.58","16.05","11.33","13.27"
"Amir Jackson","Fla","SEC","11.97","11.44","13.56","12.55","13.44"
"Hunter Welcing","OSU","Big10","11.92","12.88","12.19","10.05","8.28"
"Caleb Odom","Miss","SEC","11.91","11.96","9.27","11.41","9.14"
"Tanner Lemaster","EMich","MAC","11.91","12.97","12.13","9.40","7.37"
"Jack Larsen","ND","Inde","11.89","12.64","12.75","10.86","12.77"
"Gabe Fisher","Vand","SEC","11.86","10.77","12.67","11.65","11.61"
"Zack Marshall","Mich","Big10","11.86","12.47","14.82","10.24","11.23"
"Jaden Platt","Ark","SEC","11.85","13.01","10.73","10.33","13.17"
"Tate Hoover","Ball","MAC","11.85","9.47","12.15","12.46","12.13"
"Nate Kurisky","Duke","ACC","11.85","12.59","14.61","10.48","12.15"
"Jaden Reddell","UGA","SEC","11.84","10.44","7.43","13.88","12.75"
"Jack Sammarco","Bama","SEC","11.84","9.65","11.10","13.19","9.26"
"Benji Blackburn","Stan","ACC","11.82","12.10","15.04","11.94","14.14"
"Sam West","MissSt","SEC","11.82","11.98","14.17","11.95","8.61"
"Toby Payne","Marsh","SBC","11.81","11.33","14.05","12.26","11.53"
"Gavin Mueller","MiaFL","ACC","11.81","11.81","11.81","11.81","11.81"
"Ka'Morreun Pimpton","TCU","Big12","11.79","11.81","11.67","11.07","13.51"
"Addison Ostrenga","Iowa","Big10","11.78","12.35","15.06","10.79","12.46"
"Chico Holt","Stan","ACC","11.77","11.64","10.61","9.98","10.63"
"Daunte Bacheyie","Cuse","ACC","11.71","11.67","12.84","10.84","3.69"
"Blane Cleaver","BG","MAC","11.66","8.77","11.73","13.68","12.27"
"Emaree Winston","Tex","SEC","11.66","12.84","11.78","10.36","12.74"
"Terik Mulder","Kent","MAC","11.66","12.62","10.88","9.02","8.53"
"DaSaahn Brame","Tenn","SEC","11.59","11.89","8.62","9.23","13.50"
"Christian Ross","MiaOH","MAC","11.59","11.96","16.28","10.55","13.52"
"Tyler Little","ArkSt","SBC","11.55","9.07","12.92","13.56","10.13"
"Mike Tyler","SoCar","SEC","11.54","11.47","11.28","10.93","11.30"
"Donovan Green","OKSt","Big12","11.53","12.27","14.44","10.90","11.90"
"Michael Smith","Miss","SEC","11.52","12.63","12.95","9.59","9.35"
"Joshua Phifer","UCLA","Big10","11.51","11.30","13.75","11.70","10.53"
"Jett Carpenter","TT","Big12","11.50","10.40","13.40","8.71","7.20"
"Theo Melin Ohrstrom","SMU","ACC","11.50","12.18","13.40","10.51","14.49"
"Joshua Long","EMich","MAC","11.50","11.77","14.50","9.45","13.02"
"Decker DeGraaf","Wash","Big10","11.47","12.41","13.10","10.37","10.62"
"Olsen Patt-Henry","Clem","ACC","11.47","10.96","9.16","11.86","14.07"
"Julian Johnson","Minn","Big10","11.46","10.13","11.18","11.93","11.47"
"Daniel Evert","Temp","Amer","11.46","12.26","13.57","10.36","11.42"
"Carson Kent","Pitt","ACC","11.43","11.40","15.21","9.94","12.04"
"Juice Vereen","ColSt","Pac12","11.40","11.71","11.04","9.97","9.00"
"Miles Campbell","UTSA","Amer","11.40","10.72","9.84","0.67","0.65"
"Brett Norfleet","Mizz","SEC","11.37","12.41","11.76","9.66","11.35"
"Matt Adcock","Ark","SEC","11.36","10.71","12.65","12.09","11.11"
"Brayden Fogle","UGA","SEC","11.36","11.36","11.36","11.36","11.36"
"Brock Schott","Ind","Big10","11.36","11.25","10.45","10.86","7.44"
"Noah Meyers","Cuse","ACC","11.35","12.04","14.93","8.67","11.26"
"Hunter Provience","NCSt","ACC","11.34","11.94","11.80","0.53","0.53"
"Marshall Pritchett","Bama","SEC","11.33","11.57","11.25","10.37","12.59"
"Hudson Cedarland","WashSt","Pac12","11.31","11.47","12.08","10.67","11.23"
"Kiotti Armstrong","A&M","SEC","11.30","11.26","5.99","11.44","12.85"
"Jalen Hoffman","Mich","Big10","11.29","8.93","1.10","13.65","5.10"
"Trey Leckner","WashSt","Pac12","11.27","13.19","14.89","9.83","11.41"
"Luke McGary","Hou","Big12","11.26","10.99","14.35","10.72","14.11"
"Jordan Collins","Navy","Amer","11.26","10.29","12.05","12.09","13.31"
"Desirrio Riles","FSU","ACC","11.25","11.95","10.05","9.82","11.39"
"Christian Abney","Illini","Big10","11.23","9.48","11.05","12.04","10.97"
"Landon Morris","Wake","ACC","11.22","11.25","9.12","10.64","10.16"
"Leyton Cure","KU","Big12","11.21","11.54","11.32","11.35","8.36"
"Khamari Anderson","AZSt","Big12","11.21","10.18","12.16","13.37","13.21"
"Brec Long","NoTex","Amer","11.21","10.70","13.12","10.97","12.68"
"Will Anciaux","KSt","Big12","11.20","10.77","10.70","12.47","10.53"
"Lincoln Keyes","UGA","SEC","11.20","11.20","11.20","11.20","11.20"
"Hunter Tipton","Mem","Amer","11.18","11.49","12.82","10.60","13.39"
"Nick Townsend","Tex","SEC","11.17","10.54","7.79","11.90","14.42"
"Blake Smith","TexSt","Pac12","11.16","10.73","11.64","11.51","10.16"
"Jamie Tremble","Cuse","ACC","11.14","11.33","11.20","10.08","8.28"
"JC Anderson","LSU","SEC","11.14","11.14","11.14","11.14","11.14"
"Deakon Tonielli","Mich","Big10","11.13","11.20","11.41","10.43","12.15"
"Dorian Fleming","Mary","Big10","11.12","11.93","11.60","8.96","12.58"
"Jonathan Echols","Aub","SEC","11.12","11.50","11.65","9.60","13.78"
"Beau Baker","WashSt","Pac12","11.11","11.93","12.61","10.08","13.32"
"Spencer Mermans","GATech","ACC","11.11","7.04","8.28","0.50","0.50"
"Riley Williams","MissSt","SEC","11.09","11.09","8.99","11.81","11.05"
"Jake Johnson","Aub","SEC","11.09","11.59","15.65","10.95","11.79"
"Semi Taulanga","Utah","Big12","11.09","12.80","12.98","11.01","8.82"
"Xavier Tiller","FSU","ACC","11.08","11.08","11.08","11.08","11.08"
"Kamrean Johnson","Wake","ACC","11.06","11.09","9.43","11.25","14.13"
"Matt Wagner","Boise","Pac12","11.05","13.01","13.31","9.40","11.83"
"Matt Ludwig","TT","Big12","11.04","11.04","11.04","11.04","11.04"
"Grant Hollier","GaSt","SBC","11.03","11.97","9.01","7.04","12.93"
"River Helms","GASo","SBC","11.02","11.88","11.11","8.46","13.77"
"Jason Fowler","NIU","MWC","11.00","12.12","10.74","9.39","10.69"
"AJ Ia","AZSt","Big12","11.00","11.10","12.28","10.86","12.80"
"Oscar Hammond","OKSt","Big12","11.00","13.48","13.47","7.73","11.80"
"Hayden Hansen","OU","SEC","10.99","11.48","13.98","10.69","11.66"
"Jeron Askren","MOSt","CUSA","10.98","11.39","13.41","9.74","12.65"
"Linkon Cure","KSt","Big12","10.98","11.36","11.27","11.57","2.64"
"Ryan Ward","WVU","Big12","10.98","12.08","10.35","10.64","11.81"
"Bryce Anderson","ULM","SBC","10.97","10.62","12.37","11.53","12.87"
"Josh Sapp","WVU","Big12","10.97","11.14","13.85","10.56","14.18"
"Kylan Fox","Purd","Big10","10.97","10.36","13.82","11.48","13.58"
"Gavin Harris","GATech","ACC","10.95","11.42","11.17","9.37","9.32"
"Brock Chappell","ULLaf","SBC","10.94","11.89","12.79","5.67","5.83"
"Caden Jensen","ULLaf","SBC","10.94","9.80","10.55","11.99","13.73"
"Ja'Ricous Hairston","VT","ACC","10.93","11.79","11.63","9.44","11.94"
"Walter Matthews","USC","Big10","10.91","10.91","10.91","10.91","11.38"
"Jayden Savoury","MichSt","Big10","10.89","11.36","10.45","9.30","6.92"
"Cole Keller","JMU","SBC","10.88","11.12","12.05","0.49","0.49"
"Dakota Twitty","UVA","ACC","10.86","11.76","12.60","9.56","10.29"
"Nate Roberts","OSU","Big10","10.86","11.22","9.51","10.40","14.61"
"Jaxxon Warren","UNC","ACC","10.85","10.95","10.34","11.20","10.66"
"Zayion Cotton","MissSt","SEC","10.83","10.83","10.83","10.83","10.83"
"Hunter Hopperton","Kent","MAC","10.82","10.94","13.71","11.19","9.84"
"Kaeden Johnson","A&M","SEC","10.82","10.82","10.82","10.82","10.82"
"KK Johnson","A&M","SEC","10.82","10.82","10.82","10.82","10.82"
"Jacob Simpson","Minn","Big10","10.79","10.09","4.57","11.51","11.26"
"Jaleel Skinner","Lou","ACC","10.78","12.56","14.65","8.90","13.27"
"Ty Stamey","TexSt","Pac12","10.75","9.53","13.23","12.30","12.19"
"Elijah Brown","UK","SEC","10.74","9.79","11.87","12.49","12.43"
"Tyler Ruxer","OU","SEC","10.74","10.74","10.74","10.74","10.74"
"Brayden Loftin","UCLA","Big10","10.73","10.80","7.66","12.37","12.86"
"Sean Ward","Ball","MAC","10.72","9.89","11.57","0.41","0.41"
"Henry Boyer","UK","SEC","10.72","11.11","11.11","10.97","9.40"
"Tyler Fortenberry","IASt","Big12","10.71","11.64","12.75","9.24","12.06"
"Jackson Ford","SDSU","Pac12","10.70","11.33","13.25","10.62","13.41"
"Gus McGee","Char","Amer","10.69","10.86","15.13","10.78","11.04"
"Zeke Moore","BC","ACC","10.68","9.23","14.31","11.76","11.20"
"Devon Tauaefa","Haw","MWC","10.67","10.65","11.98","10.69","10.83"
"Austin Terry","Boise","Pac12","10.65","10.01","5.88","11.12","12.21"
"Chase Loftin","FSU","ACC","10.64","10.64","11.26","10.89","7.12"
"Adam Parks","WMich","MAC","10.62","9.51","9.79","11.18","11.82"
"Rod Gibbs","SoAla","SBC","10.61","9.88","7.55","11.17","13.05"
"Matthew Klopfenstein","Bay","Big12","10.60","11.09","12.22","10.11","11.37"
"Pierce Petersohn","VT","ACC","10.60","10.60","10.60","10.60","10.60"
"Preston Douglas","NCSt","ACC","10.59","11.03","11.71","10.10","12.61"
"Zach Atkins","Col","Big12","10.57","10.65","14.48","10.22","12.33"
"Brandon Young Jr.","UTSA","Amer","10.57","9.83","12.68","10.02","12.11"
"Matt Henderson","VT","ACC","10.57","10.57","10.57","10.57","10.57"
"Israel Briggs","MiaFL","ACC","10.57","10.57","10.57","10.57","10.57"
"Jamel Howse","App","SBC","10.54","10.54","10.54","10.54","10.54"
"Matt Ragan","Conn","Inde","10.54","9.56","7.69","11.81","11.13"
"Logan Mauldin","Char","Amer","10.53","11.20","12.20","0.51","0.42"
"Logan Brooking","Clem","ACC","10.51","10.96","11.20","10.31","11.28"
"Hayden Vercher","AZSt","Big12","10.51","10.51","10.51","10.51","10.51"
"Kaden Helms","Minn","Big10","10.50","11.11","14.60","9.67","13.37"
"Mason Mini","Cal","ACC","10.48","11.92","12.26","5.51","8.26"
"Josiah Thomas","NMSt","CUSA","10.47","10.74","11.23","0.39","0.39"
"Tracy Stephens","Marsh","SBC","10.47","12.90","10.40","8.88","11.09"
"Maddox Lassiter","Ark","SEC","10.46","9.64","6.74","10.95","12.76"
"Keaton Roskop","IASt","Big12","10.45","10.13","2.40","10.69","12.69"
"Conner Cravaack","Akr","MAC","10.42","9.90","11.04","11.24","11.42"
"Kaleb Edwards","Bama","SEC","10.42","10.73","10.04","10.27","10.46"
"Ty Goettsche","BYU","Big12","10.41","10.41","10.41","10.41","10.41"
"Joey Olsen","UNM","MWC","10.40","10.65","8.78","10.60","8.78"
"Benji Gosnell","VT","ACC","10.40","11.80","14.29","8.66","12.56"
"Heze Kent","Fla","SEC","10.38","10.38","10.38","10.38","10.38"
"LaKelsey Johnson, Jr.","Lib","CUSA","10.38","10.44","13.11","11.59","11.10"
"Connor Lair","MOSt","CUSA","10.36","13.84","11.93","7.14","9.43"
"Jabari Bush","ArkSt","SBC","10.36","10.85","13.77","9.28","6.61"
"Shamar Easter","UNC","ACC","10.35","10.58","13.09","9.32","12.29"
"JD Lafleur","LSU","SEC","10.35","10.35","10.35","10.35","10.35"
"Max Reese","NoTex","Amer","10.33","10.78","11.76","9.15","9.61"
"Gabe Burkle","PSU","Big10","10.33","11.33","15.02","9.77","9.45"
"Logan Blake","Rut","Big10","10.30","8.59","13.06","11.97","13.03"
"Josh Ford","Bama","SEC","10.29","9.38","9.21","12.56","10.80"
"Richie Anderson","A&M","SEC","10.29","10.07","9.47","11.11","12.69"
"Ty Lockwood","Ark","SEC","10.28","11.80","12.14","9.27","3.31"
"Ryan Wolfer","SDSU","Pac12","10.27","10.29","12.59","10.27","11.74"
"Jackson Verdugo","FIU","CUSA","10.26","10.87","14.74","9.58","8.99"
"Rico Walker","Cal","ACC","10.26","11.73","10.84","9.05","11.40"
"Max Hunt","Pitt","ACC","10.25","10.53","9.84","9.62","9.78"
"Joe Caudill","MichSt","Big10","10.25","10.25","10.25","10.25","10.25"
"Ryder Kusch","Temp","Amer","10.22","10.47","15.06","9.77","10.87"
"Jeremiah Scoby","BG","MAC","10.22","9.47","10.32","10.78","10.37"
"Eric Olsen","OreSt","Pac12","10.22","10.20","7.79","0.21","0.17"
"Luke Brewer","Iowa","Big10","10.19","10.19","10.19","10.19","10.19"
"Caleb Tafua","A&M","SEC","10.19","10.19","10.19","10.19","10.19"
"Brady Hunt","SoCar","SEC","10.19","11.40","14.09","8.14","10.46"
"Antonio Ferguson","UAB","Amer","10.17","10.12","7.78","11.71","9.37"
"Luca Puccinelli","Purd","Big10","10.17","10.46","11.36","9.48","10.72"
"Darrin Fugitt","App","SBC","10.16","10.80","12.12","0.24","0.19"
"Brayden Bockler","LATech","SBC","10.15","8.64","11.72","10.11","13.32"
"Cam Ball","WVU","Big12","10.14","10.31","13.54","10.54","8.25"
"Lukas Ungar","UVA","ACC","10.13","10.08","12.89","10.05","11.27"
"Avion McBride","GaSt","SBC","10.09","9.61","12.38","10.97","11.42"
"Roger Saleapaga II","BYU","Big12","10.09","11.08","12.75","10.16","12.39"
"Tex Brannan","Army","Amer","10.08","9.52","10.36","10.86","5.27"
"Jaivion Martin","Hou","Big12","10.07","10.07","10.07","10.07","10.07"
"Judah Ezinwa","UTEP","MWC","10.07","9.07","6.04","11.34","10.42"
"T'Andre Waverly","OreSt","Pac12","10.06","10.06","10.06","10.06","10.06"
"Zach Courtney","CoCar","SBC","10.05","10.46","14.14","10.54","12.02"
"Nick Lautar","OSU","Big10","10.02","10.02","10.02","10.02","10.02"
"Jordan Andrus","UTEP","MWC","10.01","10.48","10.31","8.99","11.26"
"Anthony Miller","AZSt","Big12","10.00","10.86","10.54","9.50","11.05"
"A.J. Pugliano","Ore","Big10","10.00","10.00","10.00","10.00","10.00"
"Bear Tenney","UNM","MWC","10.00","10.19","9.82","7.07","7.07"
"Brian Kortovich","PSU","Big10","10.00","10.00","10.00","10.00","10.00"
"Kentrell White","BG","MAC","10.00","10.00","10.00","10.00","10.00"
"Taimane Purcell","Cal","ACC","10.00","10.00","10.00","10.00","10.00"
"Javonte Williams","Mary","Big10","10.00","10.00","10.00","10.00","10.00"
"Tex Vaughn","NCSt","ACC","10.00","10.00","10.00","10.00","10.00"
"Trevor Gibbs","Ind","Big10","10.00","10.00","10.00","10.00","10.00"
"Tilden Riley","Vand","SEC","10.00","10.00","10.00","10.00","10.00"
"Wyatt Sullivan","USF","Amer","9.99","10.65","12.32","9.63","10.70"
"Jacorey Whitted","Troy","SBC","9.99","9.99","9.99","9.99","9.99"
"Arlis Boardingham","Aub","SEC","9.98","10.99","10.93","8.79","11.58"
"Ryan McConnell","ColSt","Pac12","9.97","9.77","11.71","9.49","13.06"
"Eric Karner","MiaOH","MAC","9.97","9.97","9.97","10.30","9.97"
"Ismael Smith Flores","ECU","Amer","9.96","10.66","7.24","0.66","0.66"
"Zack Turner","SMU","ACC","9.95","9.95","9.95","9.95","9.95"
"Everett Hunter","SoAla","SBC","9.94","10.66","11.10","0.84","0.88"
"Grayson Brousseau","UCF","Big12","9.93","9.52","14.40","11.77","11.04"
"Julius Miles","Lou","ACC","9.93","9.93","9.93","9.93","9.93"
"Henry Gabalis","Zona","Big12","9.92","9.92","9.92","9.92","9.92"
"Josiah Jefferson","USC","Big10","9.92","9.92","9.92","9.92","9.92"
"Jack Sievers","Wisc","Big10","9.92","9.92","9.92","9.92","9.92"
"Noah Fox-Flores","UCLA","Big10","9.91","10.38","12.19","10.23","12.74"
"Trynae Washington","OU","SEC","9.91","9.91","9.91","10.59","9.91"
"Tyler Powell","Zona","Big12","9.90","10.00","9.26","10.95","10.50"
"Bennett Christian","OSU","Big10","9.90","10.89","14.43","10.58","9.01"
"Brennan Parachek","MichSt","Big10","9.89","11.59","14.07","10.04","11.10"
"Witt Edwards","MOSt","CUSA","9.88","10.11","8.93","10.80","11.11"
"Nate Agyemang","GATech","ACC","9.88","9.88","9.88","9.88","9.88"
"John Rogers","UVA","ACC","9.88","11.92","15.13","9.39","5.66"
"Jp Mikhael","GASo","SBC","9.85","8.88","11.81","10.86","12.51"
"Ryan Ghea","Aub","SEC","9.84","9.48","12.01","10.65","12.02"
"Cc Ezirim","WKU","CUSA","9.83","9.64","11.60","9.34","11.91"
"Aj Johnson","FAU","Amer","9.81","9.81","9.81","9.81","9.81"
"Taniela Tupou","USC","Big10","9.81","11.71","13.11","8.55","9.57"
"Will Monney","Utah","Big12","9.80","10.89","12.17","6.98","9.54"
"Colin Ford","Wyo","MWC","9.80","9.80","9.80","9.80","9.80"
"Nathaniel Salmon","WashSt","Pac12","9.80","9.80","9.80","9.80","9.80"
"Corbyn Fordham","FSU","ACC","9.80","9.80","9.80","9.80","9.80"
"Luke Dehnicke","NW","Big10","9.80","9.80","9.80","9.80","9.80"
"Lincoln Watkins","UK","SEC","9.80","9.80","9.80","9.80","9.80"
"Reece Adkins","Mass","MAC","9.79","9.93","10.97","9.52","10.24"
"Gabe Milbourn","OreSt","Pac12","9.78","10.91","11.74","9.75","9.17"
"Noah Bennee","Utah","Big12","9.78","9.85","11.31","0.26","0.25"
"Nathan VanTimmeren","CMich","MAC","9.77","9.81","11.94","9.58","11.23"
"Kyle Frendt","Wyo","MWC","9.76","10.25","11.53","8.65","11.78"
"Sam Vyhlidal","Wash","Big10","9.76","9.76","9.76","9.76","9.76"
"Tayveon Wilson","Clem","ACC","9.76","9.76","9.76","9.76","9.76"
"Jamari Harrold","KennSt","CUSA","9.76","10.28","9.56","8.63","7.59"
"Zach Ortwerth","Iowa","Big10","9.74","11.69","13.08","8.31","12.78"
"Mike Higgins","Rut","Big10","9.74","9.64","12.78","11.13","9.66"
"Ar'Mari Towns","Purd","Big10","9.72","9.72","9.72","9.72","9.72"
"Damon Hall Jr.","Mary","Big10","9.72","9.72","9.72","9.72","9.72"
"Carson Sneed","UNC","ACC","9.72","9.72","9.72","9.72","9.72"
"Parker Elmore","Ind","Big10","9.72","9.72","9.72","9.72","9.72"
"James Resar","FIU","CUSA","9.70","9.70","9.70","9.70","9.70"
"Gavin Grover","Cincy","Big12","9.69","8.97","12.25","11.96","13.69"
"Ethan Malafa","Tol","MAC","9.69","8.14","11.61","0.36","0.36"
"Andre Nickerson Jr.","SMU","ACC","9.68","9.68","9.68","9.68","9.68"
"Kekua Aumua","Wash","Big10","9.68","9.68","9.68","9.68","9.68"
"Tom McGlinchey","NW","Big10","9.68","9.68","9.68","9.68","9.68"
"Luke Sorensen","Neb","Big10","9.68","9.68","9.68","9.68","9.68"
"Ryder Mix","OU","SEC","9.68","9.68","9.68","9.68","9.68"
"Jay Lindsey","Bama","SEC","9.68","10.05","12.96","9.90","8.64"
"Owen Anderson","Mass","MAC","9.67","10.29","8.85","9.22","11.33"
"Preston Zinter","Rice","Amer","9.66","9.66","9.66","9.66","10.04"
"Preston Kilgore","SMiss","SBC","9.66","8.83","9.10","0.45","0.45"
"Preston Howard","Mary","Big10","9.66","8.99","8.83","11.57","14.09"
"Cole McConathy II","MiaFL","ACC","9.65","9.65","9.65","9.65","9.65"
"Shane King","Zona","Big12","9.65","10.83","11.45","7.46","11.60"
"Landen Miree","AZSt","Big12","9.65","9.65","9.65","9.65","9.65"
"Jack Van Dorselaer","OU","SEC","9.62","9.93","10.03","9.15","13.21"
"Dawson Johnson","Tul","Amer","9.62","10.09","14.57","7.93","10.61"
"Kellan Ford","Zona","Big12","9.61","9.61","9.61","9.61","9.61"
"Cash Cheeks","UTEP","MWC","9.61","9.33","8.38","0.52","0.52"
"Eddie Whiting","MichSt","Big10","9.60","9.60","9.60","9.60","9.60"
"Davin Stoffel","Illini","Big10","9.60","9.33","11.27","3.70","3.79"
"Ty Washington","ND","Inde","9.60","11.82","12.80","8.90","9.77"
"Jett Zabel","NDSt","MWC","9.58","9.75","10.39","5.24","5.24"
"Jack Pedersen","WashSt","Pac12","9.58","10.38","12.90","10.18","11.33"
"Caleb Ryan","Lib","CUSA","9.58","9.90","11.80","10.96","11.48"
"Max Drag","SoCar","SEC","9.58","9.90","11.41","10.22","13.76"
"Ryan Brekke","Boise","Pac12","9.57","9.57","9.57","9.57","9.57"
"Kai Wesley","Bay","Big12","9.57","9.57","9.57","9.57","9.57"
"Dj Howerton","Rut","Big10","9.57","9.57","9.57","9.57","9.57"
"Justyn Reid","Lou","ACC","9.55","10.73","10.15","9.07","11.74"
"Wesley Campbell VI","GaSt","SBC","9.53","9.71","9.43","8.51","11.49"
"Jackson Worley","Troy","SBC","9.52","10.45","11.42","9.88","9.81"
"Elijah Washington-Baker","Cuse","ACC","9.51","10.56","10.66","9.27","11.16"
"DD Oliver","Rice","Amer","9.50","9.50","9.50","9.50","9.50"
"Reiman Zebert","Stan","ACC","9.50","9.50","9.50","9.50","9.50"
"Mason Woods","Iowa","Big10","9.50","9.50","9.50","9.50","9.50"
"Micah Jones","Fla","SEC","9.49","9.49","9.49","9.84","9.49"
"Jack Utz","KU","Big12","9.49","9.49","9.49","9.49","9.49"
"Benjamin Moseley","Duke","ACC","9.49","9.49","9.49","9.49","9.49"
"Adam Gehm","Vand","SEC","9.49","9.49","9.49","9.49","9.49"
"Corbin Laisure","Col","Big12","9.48","9.53","7.09","9.52","9.95"
"Jordan Williams","TexSt","Pac12","9.47","9.47","9.47","9.47","9.47"
"Tucker Ashcraft","USC","Big10","9.47","10.09","9.25","10.60","12.94"
"Tyler Kielmeyer","NW","Big10","9.47","9.47","9.47","9.47","9.47"
