"Name","School","Conference","Overall","Pass Block","Run Block","Discipline"
"Samson Okunlola","MiaFL","ACC","13.84","13.99","13.85","13.52"
"Aaron Fenimore","Lib","CUSA","13.83","13.18","12.75","16.79"
"John Mills","Wash","Big10","13.82","12.78","15.72","16.75"
"Anthony Donkoh","PSU","Big10","13.82","13.34","14.37","16.35"
"Sonny Makasini","BYU","Big12","13.82","13.48","14.21","15.92"
"Tyler Needham","Rut","Big10","13.80","13.90","11.81","16.56"
"Xavier Lozowicki","Cincy","Big12","13.76","13.98","14.30","13.33"
"Coleton Price","UK","SEC","13.72","13.59","14.89","15.27"
"Michael Carroll","Bama","SEC","13.71","13.09","14.24","15.99"
"Jacob Ponton","TT","Big12","13.69","14.42","13.26","14.44"
"Ian Moore","OSU","Big10","13.69","13.09","15.61","13.89"
"Elijah Paige","USC","Big10","13.68","12.75","14.73","16.14"
"Felix Ojo","TT","Big12","13.68","13.68","13.68","13.68"
"Immanuel Iheanacho","Ore","Big10","13.66","13.66","13.66","13.66"
"Lance Robinson","Lou","ACC","13.66","13.39","15.34","15.13"
"Braelin Moore","LSU","SEC","13.65","13.36","14.67","15.78"
"Wilkin Formby","A&M","SEC","13.64","12.38","15.33","15.93"
"Joshua Padilla","OSU","Big10","13.64","13.92","12.83","14.37"
"Nathan Roy","Minn","Big10","13.62","12.28","15.34","15.70"
"Maki Stewart","AZSt","Big12","13.61","14.25","11.50","14.10"
"Devin Harper","LSU","SEC","13.61","13.03","15.13","13.79"
"Clinton Richard","Wake","ACC","13.61","14.48","13.84","13.63"
"Kodi Greene","Wash","Big10","13.60","13.60","13.60","13.60"
"Brock Riker","PSU","Big10","13.59","13.49","14.96","14.98"
"Nick Sharpe","MichSt","Big10","13.58","13.26","13.90","16.01"
"McKale Boley","UVA","ACC","13.57","12.89","13.52","16.39"
"Andrew Babalola","Mich","Big10","13.56","13.56","13.56","13.56"
"Kelvin Obot","Utah","Big12","13.55","13.55","13.55","13.55"
"Kwabena Asamoah","Rut","Big10","13.53","12.47","14.11","16.94"
"Joshua Bates","SMU","ACC","13.51","12.96","15.14","15.26"
"Johnny Williams IV","NoTex","Amer","13.51","14.58","13.29","13.73"
"Greg Johnson","Minn","Big10","13.49","13.95","13.93","15.48"
"Jaymar Tasi","UNM","MWC","13.48","14.07","11.51","15.26"
"Nathan Elwood","AirF","MWC","13.48","13.11","13.72","15.63"
"Spike Sowells Jr.","NCSt","ACC","13.48","13.24","13.74","15.49"
"Matt Craycraft","Duke","ACC","13.48","13.99","13.72","16.32"
"Alex Birchmeier","Lib","CUSA","13.45","13.11","13.00","13.22"
"Carsten Casady","WVU","Big12","13.44","13.64","12.09","15.21"
"Ekene Ogboko","UGA","SEC","13.43","13.43","13.43","13.43"
"Tristan Wilson","Mizz","SEC","13.43","12.44","13.42","14.60"
"Dominick Giudice","Mizz","SEC","13.43","13.64","14.78","15.01"
"Jon Adair","UVA","ACC","13.40","12.84","13.96","12.24"
"Melvin Siani","Tex","SEC","13.39","13.17","13.94","15.06"
"Darius Gray","SoCar","SEC","13.37","13.37","13.37","13.37"
"Jordan Seaton","LSU","SEC","13.37","12.97","14.48","13.96"
"Daniel Sill","TT","Big12","13.36","13.43","10.76","12.85"
"Alexander Doost","Zona","Big12","13.36","13.15","14.28","16.32"
"Cortez Smith","UGA","SEC","13.34","13.17","11.83","13.54"
"Anthonie Knapp","ND","Inde","13.34","12.23","13.49","15.47"
"Brandon Baker","Tex","SEC","13.30","12.99","15.34","13.71"
"Devon Manuel","App","SBC","13.29","12.89","13.05","14.32"
"Jonathan Daniels","FSU","ACC","13.29","12.78","13.81","13.92"
"Griffin Empey","NDSt","MWC","13.28","13.45","14.12","15.89"
"Xavier Bausley","Marsh","SBC","13.28","13.10","12.79","15.70"
"Solomon Thomas","LSU","SEC","13.27","13.27","13.27","13.27"
"Tyson Ruffins","Cal","ACC","13.27","13.09","15.00","15.48"
"Laurence Seymore","Tex","SEC","13.27","12.44","15.26","16.66"
"Knijeah Harris","Fla","SEC","13.27","12.89","14.55","15.43"
"George Fitzpatrick","KSt","Big12","13.27","14.20","12.57","13.27"
"Johnnie Brown III","Lou","ACC","13.26","13.76","12.00","14.99"
"Davion Weatherspoon","Ark","SEC","13.25","13.05","13.77","15.02"
"Zach Cochnauer","Nev","MWC","13.25","14.04","11.18","16.26"
"Noah Josey","UVA","ACC","13.24","13.35","14.11","16.54"
"Nick Del Grande","Duke","ACC","13.22","12.70","13.64","16.59"
"Luka Vincic","MichSt","Big10","13.22","13.02","13.03","14.72"
"Kobe Branham","Ark","SEC","13.22","13.15","13.08","16.36"
"Kolt Dieterich","Wash","Big10","13.21","13.04","12.40","15.91"
"Jordan Church","TT","Big12","13.20","13.66","11.82","15.72"
"Ryan Baer","Pitt","ACC","13.20","12.92","13.22","16.02"
"Johnny Dickson III","OKSt","Big12","13.19","14.32","13.26","14.96"
"Brady Wayburn","UCF","Big12","13.16","13.20","10.44","14.95"
"Joe Cotton","Cincy","Big12","13.15","13.59","12.50","15.34"
"Sam Greer","OSU","Big10","13.14","13.14","13.14","13.14"
"Neto Umeozulu","NoTex","Amer","13.14","13.51","14.70","13.52"
"Zach Rice","Cuse","ACC","13.13","14.17","12.61","12.73"
"Nathan Efobi","Mich","Big10","13.12","12.46","15.93","15.52"
"Ethan Green","USF","Amer","13.12","12.96","13.78","12.24"
"Eryx Daugherty","Lou","ACC","13.12","12.98","14.63","15.81"
"Jake Renfro","Illini","Big10","13.12","13.60","13.21","14.58"
"Sullivan Absher","ND","Inde","13.10","12.75","14.12","14.23"
"Evan Wibberley","Lou","ACC","13.08","15.47","11.81","15.93"
"Carson Hinzman","OSU","Big10","13.08","11.82","13.63","16.38"
"Evan Malcore","MiaOH","MAC","13.06","13.21","12.46","16.57"
"Micah Sahakian","Duke","ACC","13.06","12.94","12.84","14.60"
"Michael Fasusi","OU","SEC","13.06","13.71","11.93","14.12"
"Joseph Hanson","OKSt","Big12","13.05","13.02","12.86","14.62"
"Tj McMillen","Illini","Big10","13.04","13.26","13.06","11.26"
"Zach Henning","Zona","Big12","13.03","12.53","13.57","15.13"
"Geirean Hatchett","Wash","Big10","13.03","13.13","12.39","15.56"
"Kevin Brown","WVU","Big12","13.02","13.02","13.02","13.02"
"Joep Engbers","Lib","CUSA","13.02","12.56","14.15","15.74"
"Jacob Strand","Aub","SEC","13.01","12.61","12.62","15.11"
"Nathan Knapik","Illini","Big10","12.99","12.91","12.34","13.00"
"Ross Liegel","NIU","MWC","12.99","12.57","12.22","16.18"
"Casey Poe","Bama","SEC","12.98","11.45","12.77","12.54"
"Cole Best","Aub","SEC","12.98","13.46","13.61","15.30"
"Sully Burns","TexSt","Pac12","12.98","13.02","12.16","16.42"
"Logan Howland","VT","ACC","12.96","13.07","12.87","15.58"
"Eric King","Temp","Amer","12.96","13.92","13.01","15.95"
"Bradley Smith","Duke","ACC","12.94","12.09","14.41","15.93"
"Reggie Jackson","BC","ACC","12.92","13.18","12.23","15.56"
"Keenyi Pepe","USC","Big10","12.91","12.91","12.91","12.91"
"Canon Boone","MissSt","SEC","12.90","12.71","14.30","15.34"
"Joe Brunner","Ind","Big10","12.90","13.79","13.28","15.95"
"Eugene Brooks","UCLA","Big10","12.90","12.82","13.74","15.86"
"Phillip Daniels","OSU","Big10","12.90","13.33","12.48","14.53"
"Gunnar Gottula","Neb","Big10","12.89","13.49","12.38","15.39"
"Connor Robertson","Tex","SEC","12.89","13.16","13.08","13.46"
"Witten Van Hoy","TCU","Big12","12.89","12.67","12.09","11.13"
"Ryan Mickow","Tul","Amer","12.88","12.10","12.59","13.71"
"Bryce Lovett","Fla","SEC","12.87","14.81","12.25","13.62"
"Josh Atkins","Mizz","SEC","12.86","12.45","13.49","15.45"
"Bray Lynch","Ind","Big10","12.86","12.94","12.82","15.79"
"Tyler Johnson","KSt","Big12","12.85","7.32","13.40","13.11"
"Luke Needham","Rice","Amer","12.85","12.50","8.72","13.54"
"McKenzie Agnello","Hou","Big12","12.85","12.51","13.86","15.46"
"AJ Vinson","ULM","SBC","12.85","11.70","15.03","15.16"
"Dontrell Glover","UGA","SEC","12.85","12.44","14.78","16.03"
"Aaron Karas","Mem","Amer","12.84","12.87","11.88","16.07"
"Matthew McCoy","MiaFL","ACC","12.84","14.18","12.23","15.04"
"Jake Maikkula","OU","SEC","12.83","13.13","13.54","16.72"
"Lamont Rogers","A&M","SEC","12.82","13.78","9.34","14.14"
"Taj White","Col","Big12","12.82","12.09","11.78","15.84"
"Phillip Houston","Col","Big12","12.81","11.80","13.89","14.37"
"Sheridan Wilson","TT","Big12","12.81","14.43","15.16","14.40"
"Trent Wilson","Iowa","Big10","12.81","13.14","10.29","14.45"
"Noah McKinney","TCU","Big12","12.81","11.53","15.89","14.88"
"Malachi Breland","Ark","SEC","12.80","12.25","13.98","15.42"
"William Sanders","Bama","SEC","12.80","12.28","13.03","15.03"
"Drake Metcalf","UVA","ACC","12.80","13.15","13.75","15.07"
"Conner Moore","MichSt","Big10","12.80","13.03","11.42","15.19"
"Matt Hofer","Tol","MAC","12.80","12.46","12.11","13.69"
"Blake Frazier","Mich","Big10","12.80","13.36","10.49","16.20"
"Harrison Moore","Fla","SEC","12.79","13.32","13.60","14.52"
"Jaheim Buchanon","TCU","Big12","12.79","12.92","13.08","16.59"
"Henry Tabansi","UCF","Big12","12.79","12.87","12.88","14.83"
"Alex Harrison","Utah","Big12","12.78","12.76","12.97","12.31"
"Dominic Rulli","PSU","Big10","12.77","11.84","12.39","12.97"
"Rolan Fullwood","Fres","Pac12","12.77","11.80","14.20","15.29"
"Vincent Fiacable","FAU","Amer","12.76","11.50","15.55","15.78"
"Adedamola Ajani","Ind","Big10","12.76","12.56","10.88","15.38"
"John Turntine III","Tex","SEC","12.75","12.75","12.75","12.75"
"Kevin Heywood","Wisc","Big10","12.75","13.82","12.28","13.16"
"Caleb Nitta","OU","SEC","12.75","12.20","13.03","16.46"
"Guerby Lambert","ND","Inde","12.75","12.56","12.99","15.87"
"Lyndon Cooper","Vand","SEC","12.75","13.49","13.50","14.78"
"Michael Crounse","BC","ACC","12.74","12.49","14.09","15.18"
"Ben York","UVA","ACC","12.74","14.33","7.85","14.06"
"Ryan Berger","Wake","ACC","12.73","12.72","14.63","14.01"
"Ashton Beers","Minn","Big10","12.73","11.10","15.40","16.85"
"Jackson Lloyd","Bama","SEC","12.73","12.40","13.48","12.24"
"Steven Demboski","Del","CUSA","12.73","12.28","13.96","15.69"
"Patrick Kutas","Miss","SEC","12.73","12.68","13.11","15.83"
"Ashton Craig","ND","Inde","12.72","12.50","13.03","14.98"
"Michael Hershey","Mary","Big10","12.71","10.66","15.75","15.78"
"Caleb Cook","USF","Amer","12.71","12.87","13.25","16.58"
"Landen Livingston","WVU","Big12","12.70","10.95","17.10","16.47"
"Deandre Marshall","UTSA","Amer","12.70","13.23","10.94","15.66"
"Trent Fraley","MichSt","Big10","12.69","13.63","13.57","15.71"
"Ethan Mackenny","GATech","ACC","12.68","12.09","13.84","15.24"
"Griffin Scroggs","UNLV","MWC","12.68","11.84","13.77","16.58"
"Tommy Tofi","Ore","Big10","12.68","12.68","12.68","12.68"
"Andrew Lowry","MiaOH","MAC","12.68","13.88","4.83","12.78"
"Miles McVay","MissSt","SEC","12.67","12.41","13.47","14.14"
"Fletcher Westphal","Fla","SEC","12.67","13.00","12.42","12.01"
"Teague Andersen","NCSt","ACC","12.67","13.39","12.27","15.37"
"Jesse Perry","Tenn","SEC","12.67","12.10","14.71","14.39"
"Jaydon Chatman","Tex","SEC","12.67","13.57","12.66","12.46"
"Justin DeLeon","TexSt","Pac12","12.66","12.37","13.72","15.20"
"Chris Moreno","MTSU","CUSA","12.65","13.93","12.73","15.13"
"Makilan Thomas","UVA","ACC","12.65","14.08","11.45","16.00"
"Cooper Powers","TCU","Big12","12.65","12.35","14.73","15.46"
"Mark Nabou Jr.","A&M","SEC","12.65","12.13","14.13","15.58"
"Robert Wright Jr.","MichSt","Big10","12.65","11.16","13.95","16.64"
"Cam Nichols","Navy","Amer","12.64","12.00","14.37","15.24"
"Olaus Alinen","UK","SEC","12.64","14.49","12.50","13.76"
"Ty Chan","Conn","Inde","12.64","12.26","13.86","15.57"
"Brady Ploucha","CMich","MAC","12.64","11.70","13.56","16.35"
"Barry Walker","UAB","Amer","12.64","12.41","11.79","14.63"
"Elijah Vaikona","USC","Big10","12.64","12.20","12.89","12.38"
"Ian Reed","Clem","ACC","12.64","12.46","13.10","11.89"
"Braydon Nelson","OKSt","Big12","12.64","12.59","12.14","15.70"
"Brysten Martinez","LSU","SEC","12.64","12.64","12.64","12.64"
"Hunter Whitenack","WMich","MAC","12.62","12.49","13.15","15.19"
"Ryder Langsdale","Rut","Big10","12.62","13.18","11.73","16.03"
"Zach Greenberg","JMU","SBC","12.58","12.33","12.71","15.83"
"Jimmy Liston","UtSt","Pac12","12.58","12.39","13.77","14.75"
"Mark Chapman","NMSt","CUSA","12.57","12.98","12.23","15.63"
"Cooper Cousins","PSU","Big10","12.57","11.05","12.48","15.45"
"Grant Brix","Neb","Big10","12.56","12.80","12.72","12.56"
"Robert Bourdon","A&M","SEC","12.56","12.07","13.15","14.39"
"Jason Zandamela","Fla","SEC","12.56","12.28","13.36","12.84"
"Nick Fattig","Stan","ACC","12.55","12.04","15.21","14.18"
"Gabriel Osenda","Tenn","SEC","12.55","12.55","12.55","12.55"
"Caden Kitler","Ark","SEC","12.55","12.59","13.49","15.48"
"Earnest Greene, III","UGA","SEC","12.55","12.87","12.94","16.03"
"Joe Otting","ND","Inde","12.54","11.52","13.47","15.55"
"Tyler Mercer","OKSt","Big12","12.53","14.13","11.96","15.03"
"Nick Krahe","WVU","Big12","12.53","11.37","14.12","14.92"
"Ryan Carretta","Pitt","ACC","12.52","11.63","14.33","16.23"
"Jalen Slappy","Marsh","SBC","12.52","13.11","12.05","16.19"
"Curtis Peagler","Mizz","SEC","12.52","12.04","15.47","14.51"
"Anthony Birsa","NW","Big10","12.51","11.99","12.52","13.65"
"Emerson Mandell","Wisc","Big10","12.50","11.96","12.40","16.92"
"Brett Carroll","Minn","Big10","12.50","12.00","13.11","12.04"
"Matthew Lado","Zona","Big12","12.50","13.33","9.84","13.38"
"Adam Lepkowski","UAB","Amer","12.50","12.29","13.97","14.82"
"Bj Williams","Pitt","ACC","12.49","12.14","13.23","16.80"
"Preston Cushman","UCF","Big12","12.49","11.86","13.29","15.51"
"Kilian O'Connor","USC","Big10","12.49","13.21","11.50","14.08"
"Carson Rasmussen","Boise","Pac12","12.47","13.81","10.83","13.38"
"Joseph Borjon","SDSU","Pac12","12.47","12.32","11.84","15.76"
"Wes King","WVU","Big12","12.47","13.24","13.16","15.06"
"Cooper Terpstra","UCF","Big12","12.46","12.73","11.00","11.32"
"Lucas Mrachkovskiy","JackSt","CUSA","12.45","12.12","13.51","15.97"
"Grant Seagren","NW","Big10","12.45","11.24","13.55","16.32"
"Ronan O'Connell","Clem","ACC","12.44","12.66","11.41","14.24"
"Charles Jagusah","ND","Inde","12.41","13.81","12.11","13.72"
"Larry Johnson III","Col","Big12","12.40","11.96","12.53","16.01"
"Tyler Voltin","OreSt","Pac12","12.39","12.31","13.28","14.03"
"Carter Sweazie","UCLA","Big10","12.39","12.06","12.89","15.03"
"Brody Meadows","VT","ACC","12.38","12.17","12.30","15.60"
"Aidan Banfield","UNC","ACC","12.38","12.36","12.49","15.89"
"Dantae Chin","Rut","Big10","12.37","12.10","11.71","15.01"
"Lance Heard","UK","SEC","12.37","13.37","12.39","14.94"
"Bryant Williams","Ark","SEC","12.37","12.29","12.15","15.04"
"JaQuan Adams","Tuls","Amer","12.36","12.90","12.35","15.47"
"Bradyn Welch-Joiner","FSU","ACC","12.36","11.70","12.59","16.41"
"DeAndre Carter","IASt","Big12","12.35","13.33","13.12","12.91"
"Austin Kawecki","Wisc","Big10","12.35","11.75","14.80","15.50"
"Roderick Kearney","Fla","SEC","12.35","14.05","9.71","12.32"
"Zaire Flournoy","FIU","CUSA","12.35","11.94","12.09","14.04"
"Troy Everett","Miss","SEC","12.35","14.54","11.69","15.15"
"Kaden Moreau","ULLaf","SBC","12.33","11.88","11.92","16.26"
"Alec Falk","AirF","MWC","12.33","12.44","9.49","16.72"
"Bo Bordelon","LSU","SEC","12.32","12.88","13.23","12.30"
"Judea Milon","Cincy","Big12","12.32","12.33","9.63","11.71"
"John Stone","Temp","Amer","12.31","12.15","12.90","11.61"
"Austin Leibfried","Ind","Big10","12.31","12.51","13.50","13.01"
"Tanner Morley","KSt","Big12","12.31","13.52","12.30","15.35"
"Owen Snively","BC","ACC","12.30","13.12","13.38","13.62"
"Jo Simmons","Aub","SEC","12.30","11.71","12.90","15.34"
"Sam Pendleton","Tenn","SEC","12.30","12.98","11.22","15.33"
"Kaden Sieracki","Bay","Big12","12.29","13.31","11.28","15.92"
"Bo Hughley","Col","Big12","12.29","12.03","13.86","14.19"
"Keith Olson","Utah","Big12","12.29","11.53","14.25","15.34"
"Hank Purvis","SoCar","SEC","12.29","11.95","13.77","15.38"
"Henry Fenuku","NoTex","Amer","12.29","12.09","11.99","11.29"
"Tyler Knaak","Neb","Big10","12.28","11.22","13.76","14.76"
"Jayven Richardson","Col","Big12","12.27","13.51","7.76","14.41"
"Dietrick Pennington","Clem","ACC","12.24","12.76","9.15","12.66"
"Isendre ""Papa"" Ahfua","A&M","SEC","12.24","12.60","12.18","11.73"
"Nicholas Gallegos","EMich","MAC","12.23","12.43","13.27","14.18"
"Matthew Williams","GASo","SBC","12.23","11.34","12.67","12.43"
"Austin Anderson","Lib","CUSA","12.23","11.65","11.75","14.01"
"Chandler Strong","NoTex","Amer","12.22","12.03","13.05","15.59"
"Landon Hron","NIU","MWC","12.22","11.98","13.64","14.68"
"Cason Henry","Lou","ACC","12.22","13.53","11.24","15.52"
"Kristian Phillips","BC","ACC","12.21","12.03","15.09","14.51"
"Maasai King","IASt","Big12","12.21","11.97","11.54","15.45"
"Riley McGehee","Mem","Amer","12.21","11.53","12.58","15.94"
"John Ohnegian","Wake","ACC","12.21","13.07","12.27","14.85"
"Paki Finau","BYU","Big12","12.21","11.20","14.21","16.26"
"Alex Heininger","Buff","MAC","12.21","11.02","14.53","16.32"
"Malachi Carney","GATech","ACC","12.20","12.55","13.40","13.01"
"Broderick Roman","SMiss","SBC","12.19","12.33","13.44","14.91"
"Caelan Williams","GASo","SBC","12.19","12.23","12.14","13.78"
"Jeremiah Katt","Wyo","MWC","12.19","12.68","12.77","15.00"
"Ziyare Addison","Ore","Big10","12.19","12.12","12.69","12.20"
"Kaden Robnett","UNM","MWC","12.18","11.73","12.71","16.00"
"Anthony Caccese","Del","CUSA","12.18","11.45","13.60","15.59"
"Cash Cleveland","TT","Big12","12.18","13.06","12.74","13.62"
"Xavier Chaplin","FSU","ACC","12.17","12.30","13.67","13.95"
"Amare Grayson","WVU","Big12","12.16","12.41","12.58","16.32"
"Bott Mulitalo","BYU","Big12","12.16","12.16","12.16","12.16"
"Roger Carreon","Boise","Pac12","12.15","12.76","10.76","15.27"
"Owen Aliciene","PSU","Big10","12.15","12.62","9.86","11.37"
"Eddy Pierre-Louis","OU","SEC","12.15","12.02","15.40","13.35"
"Tommy Kinsler IV","Miss","SEC","12.14","11.05","9.99","13.01"
"Brandon Henderson","Illini","Big10","12.14","11.49","13.10","15.31"
"Nolan Hay","SoCar","SEC","12.13","12.50","11.63","16.15"
"Riley Robell","UCLA","Big10","12.13","12.69","12.45","14.38"
"Chad Schuster","WMich","MAC","12.12","12.03","11.27","16.71"
"Desmond Magiya","OKSt","Big12","12.12","12.46","10.31","14.78"
"Dave Iuli","Ore","Big10","12.12","11.57","14.88","16.06"
"Brandon Lawhorn Moore","MiaOH","MAC","12.11","11.78","10.43","11.28"
"Logan Moore","Bay","Big12","12.11","13.63","10.91","12.55"
"Chris Vigna","Rut","Big10","12.11","12.18","12.03","10.83"
"Douglas Utu","Ore","Big10","12.11","12.05","12.88","12.40"
"Tellek Lockette","Mary","Big10","12.11","14.72","11.90","15.88"
"Stanton Ramil","Aub","SEC","12.10","12.64","12.50","13.50"
"Blake Steen","MissSt","SEC","12.10","10.73","13.16","14.15"
"Paul Bowling","FSU","ACC","12.09","12.50","12.41","15.24"
"Zereoue Williams","Utah","Big12","12.09","11.06","15.60","14.44"
"Austin Boyd","UNLV","MWC","12.09","12.15","12.17","15.94"
"Kendall Stanley","Pitt","ACC","12.08","12.34","13.21","14.02"
"Keyon Cox","UAB","Amer","12.08","11.50","12.83","14.39"
"Nikolas Prongos","Stan","ACC","12.08","11.44","13.43","15.33"
"Koby Keenum","Mem","Amer","12.08","13.04","11.62","11.66"
"Everett Small","Rut","Big10","12.08","11.57","12.77","16.30"
"Cade Bennett","TCU","Big12","12.08","12.73","13.18","16.08"
"Jackson Pruitt","Temp","Amer","12.07","11.64","13.30","16.58"
"Kyle Sfarcioc","BYU","Big12","12.06","12.45","11.80","15.89"
"Hoke Smith II","Navy","Amer","12.06","11.82","12.74","15.33"
"Shamurad Umarov","Tenn","SEC","12.06","11.33","13.93","15.19"
"Joey Tanona","Purd","Big10","12.06","11.75","12.57","13.88"
"Trevor Buhr","PSU","Big10","12.05","12.27","11.79","16.72"
"Grayson McKeogh","ND","Inde","12.05","12.05","12.05","12.05"
"Dylan Sikorski","Tex","SEC","12.05","11.73","11.77","16.34"
"Toran Smith","Navy","Amer","12.04","11.68","12.32","14.67"
"Adam Hawkes","Ark","SEC","12.04","12.35","10.73","15.01"
"Cam Griffin","WVU","Big12","12.04","11.57","13.56","16.21"
"Amory Hills","Mary","Big10","12.04","11.15","15.94","13.71"
"Beau Johnson","Vand","SEC","12.04","11.87","12.74","15.74"
"Leon Bell","Col","Big12","12.02","11.54","12.72","14.00"
"Anwar O'neal","Lou","ACC","12.01","11.91","11.78","16.36"
"Tavake Tuikolovatu","KU","Big12","12.01","11.54","11.73","14.71"
"Markee Anderson","SoCar","SEC","12.00","13.10","8.07","13.10"
"Nate Pabst","FSU","ACC","12.00","12.71","11.44","15.99"
"Preston Taumua","Neb","Big10","12.00","11.77","12.66","11.61"
"Kawika Rogers","Ore","Big10","11.99","10.74","13.40","13.58"
"Jose Soto","Col","Big12","11.97","11.61","10.79","14.95"
"Colin Lyons","Akr","MAC","11.97","12.49","12.03","14.97"
"Johnnie Jones","Mizz","SEC","11.95","11.95","11.95","11.95"
"Cole Skinner","Aub","SEC","11.95","12.27","11.81","14.51"
"Allen Jones, Jr.","Akr","MAC","11.94","12.13","12.67","13.38"
"Holton Hendrix","TT","Big12","11.94","12.24","12.43","12.36"
"Demetrius Hunter","Col","Big12","11.94","12.17","11.77","14.96"
"Delano Townsend","Miss","SEC","11.93","12.07","12.37","16.33"
"Landen Hatchett","Wash","Big10","11.93","11.16","13.38","16.02"
"Elijah Pritchett","Neb","Big10","11.93","11.65","12.86","14.73"
"Tyler Brown","JMU","SBC","11.92","6.22","9.81","15.63"
"Zyon Guiles","SoCar","SEC","11.92","11.92","11.92","11.92"
"Drew Azzopardi","Wash","Big10","11.92","11.53","12.63","15.14"
"Jason Maciejczak","Wyo","MWC","11.91","13.41","11.99","11.67"
"Tyler Thomas","A&M","SEC","11.91","11.74","12.60","12.52"
"Cooper Lovelace","Bay","Big12","11.91","11.65","12.71","13.64"
"Gus Hawkins","KSt","Big12","11.91","10.86","13.41","14.20"
"Patrick Valent","Rice","Amer","11.91","11.34","14.02","16.55"
"Chavez Thompson","FSU","ACC","11.90","11.49","13.53","12.73"
"Kenneth McManus IV","Aub","SEC","11.90","12.04","10.98","16.03"
"Jakobe Sanders","OKSt","Big12","11.90","11.43","12.96","14.82"
"Jason Steele","Boise","Pac12","11.89","11.91","11.20","15.62"
"Nathan Elu","OreSt","Pac12","11.89","12.13","10.86","14.34"
"Brycen Sanders","Miss","SEC","11.89","11.36","12.30","16.45"
"Malakai Lee","Mich","Big10","11.88","11.88","11.88","11.88"
"Samuel Roseborough","A&M","SEC","11.88","11.88","11.88","11.88"
"Ben Rios","UTSA","Amer","11.88","11.79","14.43","15.48"
"Malachi Goodman","PSU","Big10","11.87","11.87","11.87","11.87"
