team,overall_path,overall_value,offense_path,offense_value,defense_path,defense_value,numeric_field_count,all_numeric_fields
Tennessee,overall,62.0,off,58.0,def,65.0,6,"{""def"": 65.0, ""defRank"": 13.0, ""off"": 58.0, ""offRank"": 53.0, ""overall"": 62.0, ""rank"": 26.0}"
Syracuse,overall,62.0,off,56.0,def,67.0,6,"{""def"": 67.0, ""defRank"": 9.0, ""off"": 56.0, ""offRank"": 63.0, ""overall"": 62.0, ""rank"": 27.0}"
Ole Miss,overall,61.0,off,61.0,def,62.0,6,"{""def"": 62.0, ""defRank"": 25.0, ""off"": 61.0, ""offRank"": 42.0, ""overall"": 61.0, ""rank"": 28.0}"
Central Florida,overall,61.0,off,61.0,def,60.0,6,"{""def"": 60.0, ""defRank"": 37.0, ""off"": 61.0, ""offRank"": 41.0, ""overall"": 61.0, ""rank"": 29.0}"
LSU,overall,61.0,off,61.0,def,60.0,6,"{""def"": 60.0, ""defRank"": 35.0, ""off"": 61.0, ""offRank"": 43.0, ""overall"": 61.0, ""rank"": 30.0}"
Ohio State,overall,60.0,off,71.0,def,50.0,6,"{""def"": 50.0, ""defRank"": 78.0, ""off"": 71.0, ""offRank"": 8.0, ""overall"": 60.0, ""rank"": 31.0}"
Arizona,overall,60.0,off,66.0,def,55.0,6,"{""def"": 55.0, ""defRank"": 56.0, ""off"": 66.0, ""offRank"": 24.0, ""overall"": 60.0, ""rank"": 32.0}"
Stanford,overall,60.0,off,58.0,def,62.0,6,"{""def"": 62.0, ""defRank"": 21.0, ""off"": 58.0, ""offRank"": 54.0, ""overall"": 60.0, ""rank"": 33.0}"
SDSU,overall,59.0,off,76.0,def,43.0,6,"{""def"": 43.0, ""defRank"": 100.0, ""off"": 76.0, ""offRank"": 1.0, ""overall"": 59.0, ""rank"": 34.0}"
Wisconsin,overall,59.0,off,61.0,def,57.0,6,"{""def"": 57.0, ""defRank"": 46.0, ""off"": 61.0, ""offRank"": 45.0, ""overall"": 59.0, ""rank"": 35.0}"
Virginia,overall,59.0,off,55.0,def,62.0,6,"{""def"": 62.0, ""defRank"": 20.0, ""off"": 55.0, ""offRank"": 65.0, ""overall"": 59.0, ""rank"": 36.0}"
Air Force,overall,59.0,off,42.0,def,75.0,6,"{""def"": 75.0, ""defRank"": 3.0, ""off"": 42.0, ""offRank"": 108.0, ""overall"": 59.0, ""rank"": 37.0}"
Kansas State,overall,58.0,off,65.0,def,51.0,6,"{""def"": 51.0, ""defRank"": 73.0, ""off"": 65.0, ""offRank"": 25.0, ""overall"": 58.0, ""rank"": 38.0}"
Kansas,overall,58.0,off,49.0,def,67.0,6,"{""def"": 67.0, ""defRank"": 10.0, ""off"": 49.0, ""offRank"": 79.0, ""overall"": 58.0, ""rank"": 39.0}"
Purdue,overall,58.0,off,61.0,def,55.0,6,"{""def"": 55.0, ""defRank"": 58.0, ""off"": 61.0, ""offRank"": 40.0, ""overall"": 58.0, ""rank"": 40.0}"
Pittsburgh,overall,58.0,off,60.0,def,56.0,6,"{""def"": 56.0, ""defRank"": 49.0, ""off"": 60.0, ""offRank"": 49.0, ""overall"": 58.0, ""rank"": 41.0}"
Oklahoma State,overall,58.0,off,62.0,def,53.0,6,"{""def"": 53.0, ""defRank"": 65.0, ""off"": 62.0, ""offRank"": 35.0, ""overall"": 58.0, ""rank"": 42.0}"
California,overall,58.0,off,70.0,def,45.0,6,"{""def"": 45.0, ""defRank"": 90.0, ""off"": 70.0, ""offRank"": 11.0, ""overall"": 58.0, ""rank"": 43.0}"
Northwestern,overall,57.0,off,57.0,def,58.0,6,"{""def"": 58.0, ""defRank"": 43.0, ""off"": 57.0, ""offRank"": 59.0, ""overall"": 57.0, ""rank"": 44.0}"
Boise State,overall,57.0,off,60.0,def,55.0,6,"{""def"": 55.0, ""defRank"": 60.0, ""off"": 60.0, ""offRank"": 46.0, ""overall"": 57.0, ""rank"": 45.0}"
Auburn,overall,57.0,off,56.0,def,58.0,6,"{""def"": 58.0, ""defRank"": 41.0, ""off"": 56.0, ""offRank"": 62.0, ""overall"": 57.0, ""rank"": 46.0}"
Jacksonville State,overall,57.0,off,60.0,def,54.0,6,"{""def"": 54.0, ""defRank"": 62.0, ""off"": 60.0, ""offRank"": 47.0, ""overall"": 57.0, ""rank"": 47.0}"
Florida State,overall,57.0,off,57.0,def,57.0,6,"{""def"": 57.0, ""defRank"": 47.0, ""off"": 57.0, ""offRank"": 58.0, ""overall"": 57.0, ""rank"": 48.0}"
Liberty,overall,57.0,off,64.0,def,50.0,6,"{""def"": 50.0, ""defRank"": 77.0, ""off"": 64.0, ""offRank"": 29.0, ""overall"": 57.0, ""rank"": 49.0}"
Cincinnati,overall,57.0,off,57.0,def,56.0,6,"{""def"": 56.0, ""defRank"": 50.0, ""off"": 57.0, ""offRank"": 57.0, ""overall"": 57.0, ""rank"": 50.0}"
Texas State,overall,56.0,off,70.0,def,43.0,6,"{""def"": 43.0, ""defRank"": 98.0, ""off"": 70.0, ""offRank"": 12.0, ""overall"": 56.0, ""rank"": 51.0}"
Indiana,overall,56.0,off,54.0,def,58.0,6,"{""def"": 58.0, ""defRank"": 39.0, ""off"": 54.0, ""offRank"": 69.0, ""overall"": 56.0, ""rank"": 52.0}"
Louisiana Tech,overall,56.0,off,64.0,def,48.0,6,"{""def"": 48.0, ""defRank"": 82.0, ""off"": 64.0, ""offRank"": 30.0, ""overall"": 56.0, ""rank"": 53.0}"
Utah,overall,55.0,off,55.0,def,55.0,6,"{""def"": 55.0, ""defRank"": 53.0, ""off"": 55.0, ""offRank"": 64.0, ""overall"": 55.0, ""rank"": 54.0}"
Colorado,overall,55.0,off,57.0,def,53.0,6,"{""def"": 53.0, ""defRank"": 66.0, ""off"": 57.0, ""offRank"": 60.0, ""overall"": 55.0, ""rank"": 55.0}"
Arkansas,overall,55.0,off,55.0,def,55.0,6,"{""def"": 55.0, ""defRank"": 59.0, ""off"": 55.0, ""offRank"": 67.0, ""overall"": 55.0, ""rank"": 56.0}"
UTSA,overall,54.0,off,64.0,def,44.0,6,"{""def"": 44.0, ""defRank"": 93.0, ""off"": 64.0, ""offRank"": 27.0, ""overall"": 54.0, ""rank"": 57.0}"
NC State,overall,54.0,off,62.0,def,46.0,6,"{""def"": 46.0, ""defRank"": 84.0, ""off"": 62.0, ""offRank"": 39.0, ""overall"": 54.0, ""rank"": 58.0}"
Clemson,overall,53.0,off,46.0,def,61.0,6,"{""def"": 61.0, ""defRank"": 26.0, ""off"": 46.0, ""offRank"": 94.0, ""overall"": 53.0, ""rank"": 59.0}"
Louisville,overall,53.0,off,52.0,def,55.0,6,"{""def"": 55.0, ""defRank"": 61.0, ""off"": 52.0, ""offRank"": 73.0, ""overall"": 53.0, ""rank"": 60.0}"
Baylor,overall,53.0,off,44.0,def,62.0,6,"{""def"": 62.0, ""defRank"": 22.0, ""off"": 44.0, ""offRank"": 102.0, ""overall"": 53.0, ""rank"": 61.0}"
Wake Forest,overall,53.0,off,45.0,def,61.0,6,"{""def"": 61.0, ""defRank"": 33.0, ""off"": 45.0, ""offRank"": 96.0, ""overall"": 53.0, ""rank"": 62.0}"
Fresno St.,overall,53.0,off,52.0,def,54.0,6,"{""def"": 54.0, ""defRank"": 64.0, ""off"": 52.0, ""offRank"": 76.0, ""overall"": 53.0, ""rank"": 63.0}"
Temple,overall,53.0,off,62.0,def,43.0,6,"{""def"": 43.0, ""defRank"": 96.0, ""off"": 62.0, ""offRank"": 37.0, ""overall"": 53.0, ""rank"": 64.0}"
North Dakota State,overall,52.0,off,45.0,def,60.0,6,"{""def"": 60.0, ""defRank"": 34.0, ""off"": 45.0, ""offRank"": 97.0, ""overall"": 52.0, ""rank"": 65.0}"
West Virginia,overall,52.0,off,57.0,def,46.0,6,"{""def"": 46.0, ""defRank"": 86.0, ""off"": 57.0, ""offRank"": 55.0, ""overall"": 52.0, ""rank"": 66.0}"
Penn State,overall,52.0,off,50.0,def,53.0,6,"{""def"": 53.0, ""defRank"": 67.0, ""off"": 50.0, ""offRank"": 78.0, ""overall"": 52.0, ""rank"": 67.0}"
UL-Monroe,overall,51.0,off,63.0,def,40.0,6,"{""def"": 40.0, ""defRank"": 106.0, ""off"": 63.0, ""offRank"": 33.0, ""overall"": 51.0, ""rank"": 68.0}"
TCU,overall,51.0,off,44.0,def,58.0,6,"{""def"": 58.0, ""defRank"": 42.0, ""off"": 44.0, ""offRank"": 100.0, ""overall"": 51.0, ""rank"": 69.0}"
Arizona State,overall,51.0,off,53.0,def,49.0,6,"{""def"": 49.0, ""defRank"": 79.0, ""off"": 53.0, ""offRank"": 70.0, ""overall"": 51.0, ""rank"": 70.0}"
Western Michigan,overall,51.0,off,60.0,def,42.0,6,"{""def"": 42.0, ""defRank"": 103.0, ""off"": 60.0, ""offRank"": 48.0, ""overall"": 51.0, ""rank"": 71.0}"
New Mexico State,overall,51.0,off,46.0,def,55.0,6,"{""def"": 55.0, ""defRank"": 54.0, ""off"": 46.0, ""offRank"": 93.0, ""overall"": 51.0, ""rank"": 72.0}"
Boston College,overall,50.0,off,44.0,def,57.0,6,"{""def"": 57.0, ""defRank"": 48.0, ""off"": 44.0, ""offRank"": 101.0, ""overall"": 50.0, ""rank"": 73.0}"
Army,overall,50.0,off,67.0,def,33.0,6,"{""def"": 33.0, ""defRank"": 127.0, ""off"": 67.0, ""offRank"": 18.0, ""overall"": 50.0, ""rank"": 74.0}"
Illinois,overall,50.0,off,52.0,def,47.0,6,"{""def"": 47.0, ""defRank"": 83.0, ""off"": 52.0, ""offRank"": 74.0, ""overall"": 50.0, ""rank"": 75.0}"
Missouri,overall,49.0,off,59.0,def,40.0,6,"{""def"": 40.0, ""defRank"": 107.0, ""off"": 59.0, ""offRank"": 51.0, ""overall"": 49.0, ""rank"": 76.0}"
Duke,overall,49.0,off,48.0,def,51.0,6,"{""def"": 51.0, ""defRank"": 72.0, ""off"": 48.0, ""offRank"": 87.0, ""overall"": 49.0, ""rank"": 77.0}"
Miami-FL,overall,49.0,off,48.0,def,51.0,6,"{""def"": 51.0, ""defRank"": 74.0, ""off"": 48.0, ""offRank"": 85.0, ""overall"": 49.0, ""rank"": 78.0}"
Georgia Tech,overall,49.0,off,37.0,def,61.0,6,"{""def"": 61.0, ""defRank"": 28.0, ""off"": 37.0, ""offRank"": 117.0, ""overall"": 49.0, ""rank"": 79.0}"
Sam Houston State,overall,49.0,off,52.0,def,46.0,6,"{""def"": 46.0, ""defRank"": 87.0, ""off"": 52.0, ""offRank"": 71.0, ""overall"": 49.0, ""rank"": 80.0}"
UL-Lafayette,overall,49.0,off,63.0,def,35.0,6,"{""def"": 35.0, ""defRank"": 125.0, ""off"": 63.0, ""offRank"": 31.0, ""overall"": 49.0, ""rank"": 81.0}"
Arkansas State,overall,49.0,off,52.0,def,45.0,6,"{""def"": 45.0, ""defRank"": 89.0, ""off"": 52.0, ""offRank"": 72.0, ""overall"": 49.0, ""rank"": 82.0}"
Kennesaw State,overall,49.0,off,42.0,def,55.0,6,"{""def"": 55.0, ""defRank"": 51.0, ""off"": 42.0, ""offRank"": 107.0, ""overall"": 49.0, ""rank"": 83.0}"
Miami-OH,overall,49.0,off,45.0,def,52.0,6,"{""def"": 52.0, ""defRank"": 68.0, ""off"": 45.0, ""offRank"": 95.0, ""overall"": 49.0, ""rank"": 84.0}"
Northern Illinois,overall,48.0,off,68.0,def,28.0,6,"{""def"": 28.0, ""defRank"": 132.0, ""off"": 68.0, ""offRank"": 15.0, ""overall"": 48.0, ""rank"": 85.0}"
Mississippi State,overall,48.0,off,44.0,def,52.0,6,"{""def"": 52.0, ""defRank"": 69.0, ""off"": 44.0, ""offRank"": 99.0, ""overall"": 48.0, ""rank"": 86.0}"
Kent State,overall,48.0,off,57.0,def,39.0,6,"{""def"": 39.0, ""defRank"": 108.0, ""off"": 57.0, ""offRank"": 56.0, ""overall"": 48.0, ""rank"": 87.0}"
Marshall,overall,48.0,off,61.0,def,36.0,6,"{""def"": 36.0, ""defRank"": 123.0, ""off"": 61.0, ""offRank"": 44.0, ""overall"": 48.0, ""rank"": 88.0}"
Utah State,overall,48.0,off,40.0,def,55.0,6,"{""def"": 55.0, ""defRank"": 52.0, ""off"": 40.0, ""offRank"": 110.0, ""overall"": 48.0, ""rank"": 89.0}"
Alabama,overall,48.0,off,35.0,def,61.0,6,"{""def"": 61.0, ""defRank"": 32.0, ""off"": 35.0, ""offRank"": 119.0, ""overall"": 48.0, ""rank"": 90.0}"
Nevada,overall,48.0,off,57.0,def,39.0,6,"{""def"": 39.0, ""defRank"": 109.0, ""off"": 57.0, ""offRank"": 61.0, ""overall"": 48.0, ""rank"": 91.0}"
Rutgers,overall,47.0,off,49.0,def,46.0,6,"{""def"": 46.0, ""defRank"": 88.0, ""off"": 49.0, ""offRank"": 82.0, ""overall"": 47.0, ""rank"": 92.0}"
Navy,overall,47.0,off,33.0,def,61.0,6,"{""def"": 61.0, ""defRank"": 31.0, ""off"": 33.0, ""offRank"": 121.0, ""overall"": 47.0, ""rank"": 93.0}"
Oregon State,overall,47.0,off,49.0,def,44.0,6,"{""def"": 44.0, ""defRank"": 92.0, ""off"": 49.0, ""offRank"": 80.0, ""overall"": 47.0, ""rank"": 94.0}"
FIU,overall,47.0,off,43.0,def,50.0,6,"{""def"": 50.0, ""defRank"": 76.0, ""off"": 43.0, ""offRank"": 105.0, ""overall"": 47.0, ""rank"": 95.0}"
Massachusetts,overall,46.0,off,49.0,def,43.0,6,"{""def"": 43.0, ""defRank"": 97.0, ""off"": 49.0, ""offRank"": 81.0, ""overall"": 46.0, ""rank"": 96.0}"
Michigan State,overall,46.0,off,48.0,def,45.0,6,"{""def"": 45.0, ""defRank"": 91.0, ""off"": 48.0, ""offRank"": 88.0, ""overall"": 46.0, ""rank"": 97.0}"
Kentucky,overall,46.0,off,40.0,def,52.0,6,"{""def"": 52.0, ""defRank"": 70.0, ""off"": 40.0, ""offRank"": 112.0, ""overall"": 46.0, ""rank"": 98.0}"
Colorado State,overall,46.0,off,38.0,def,54.0,6,"{""def"": 54.0, ""defRank"": 63.0, ""off"": 38.0, ""offRank"": 116.0, ""overall"": 46.0, ""rank"": 99.0}"
Central Michigan,overall,46.0,off,62.0,def,29.0,6,"{""def"": 29.0, ""defRank"": 131.0, ""off"": 62.0, ""offRank"": 36.0, ""overall"": 46.0, ""rank"": 100.0}"
Hawaii,overall,45.0,off,54.0,def,37.0,6,"{""def"": 37.0, ""defRank"": 118.0, ""off"": 54.0, ""offRank"": 68.0, ""overall"": 45.0, ""rank"": 101.0}"
Iowa State,overall,45.0,off,44.0,def,46.0,6,"{""def"": 46.0, ""defRank"": 85.0, ""off"": 44.0, ""offRank"": 104.0, ""overall"": 45.0, ""rank"": 102.0}"
North Carolina,overall,44.0,off,47.0,def,42.0,6,"{""def"": 42.0, ""defRank"": 102.0, ""off"": 47.0, ""offRank"": 91.0, ""overall"": 44.0, ""rank"": 103.0}"
Iowa,overall,44.0,off,48.0,def,40.0,6,"{""def"": 40.0, ""defRank"": 105.0, ""off"": 48.0, ""offRank"": 84.0, ""overall"": 44.0, ""rank"": 104.0}"
South Alabama,overall,44.0,off,51.0,def,37.0,6,"{""def"": 37.0, ""defRank"": 116.0, ""off"": 51.0, ""offRank"": 77.0, ""overall"": 44.0, ""rank"": 105.0}"
Vanderbilt,overall,44.0,off,38.0,def,49.0,6,"{""def"": 49.0, ""defRank"": 80.0, ""off"": 38.0, ""offRank"": 115.0, ""overall"": 44.0, ""rank"": 106.0}"
Charlotte,overall,43.0,off,52.0,def,34.0,6,"{""def"": 34.0, ""defRank"": 126.0, ""off"": 52.0, ""offRank"": 75.0, ""overall"": 43.0, ""rank"": 107.0}"
Georgia Southern,overall,43.0,off,23.0,def,62.0,6,"{""def"": 62.0, ""defRank"": 23.0, ""off"": 23.0, ""offRank"": 134.0, ""overall"": 43.0, ""rank"": 108.0}"
Washington State,overall,42.0,off,48.0,def,36.0,6,"{""def"": 36.0, ""defRank"": 121.0, ""off"": 48.0, ""offRank"": 86.0, ""overall"": 42.0, ""rank"": 109.0}"
East Carolina,overall,42.0,off,33.0,def,50.0,6,"{""def"": 50.0, ""defRank"": 75.0, ""off"": 33.0, ""offRank"": 122.0, ""overall"": 42.0, ""rank"": 110.0}"
Memphis,overall,42.0,off,44.0,def,39.0,6,"{""def"": 39.0, ""defRank"": 110.0, ""off"": 44.0, ""offRank"": 98.0, ""overall"": 42.0, ""rank"": 111.0}"
Coastal Carolina,overall,42.0,off,39.0,def,44.0,6,"{""def"": 44.0, ""defRank"": 94.0, ""off"": 39.0, ""offRank"": 114.0, ""overall"": 42.0, ""rank"": 112.0}"
USF,overall,41.0,off,47.0,def,36.0,6,"{""def"": 36.0, ""defRank"": 122.0, ""off"": 47.0, ""offRank"": 90.0, ""overall"": 41.0, ""rank"": 113.0}"
Old Dominion,overall,40.0,off,23.0,def,58.0,6,"{""def"": 58.0, ""defRank"": 45.0, ""off"": 23.0, ""offRank"": 136.0, ""overall"": 40.0, ""rank"": 114.0}"
Akron,overall,40.0,off,44.0,def,37.0,6,"{""def"": 37.0, ""defRank"": 119.0, ""off"": 44.0, ""offRank"": 103.0, ""overall"": 40.0, ""rank"": 115.0}"
UNLV,overall,40.0,off,40.0,def,40.0,6,"{""def"": 40.0, ""defRank"": 104.0, ""off"": 40.0, ""offRank"": 111.0, ""overall"": 40.0, ""rank"": 116.0}"
Tulane,overall,40.0,off,28.0,def,52.0,6,"{""def"": 52.0, ""defRank"": 71.0, ""off"": 28.0, ""offRank"": 127.0, ""overall"": 40.0, ""rank"": 117.0}"
Wyoming,overall,40.0,off,43.0,def,36.0,6,"{""def"": 36.0, ""defRank"": 120.0, ""off"": 43.0, ""offRank"": 106.0, ""overall"": 40.0, ""rank"": 118.0}"
Troy,overall,39.0,off,47.0,def,32.0,6,"{""def"": 32.0, ""defRank"": 129.0, ""off"": 47.0, ""offRank"": 92.0, ""overall"": 39.0, ""rank"": 119.0}"
Rice,overall,39.0,off,40.0,def,38.0,6,"{""def"": 38.0, ""defRank"": 113.0, ""off"": 40.0, ""offRank"": 113.0, ""overall"": 39.0, ""rank"": 120.0}"
Georgia State,overall,38.0,off,48.0,def,27.0,6,"{""def"": 27.0, ""defRank"": 133.0, ""off"": 48.0, ""offRank"": 83.0, ""overall"": 38.0, ""rank"": 121.0}"
Middle Tennessee,overall,36.0,off,34.0,def,37.0,6,"{""def"": 37.0, ""defRank"": 115.0, ""off"": 34.0, ""offRank"": 120.0, ""overall"": 36.0, ""rank"": 122.0}"
Ball State,overall,36.0,off,47.0,def,24.0,6,"{""def"": 24.0, ""defRank"": 136.0, ""off"": 47.0, ""offRank"": 89.0, ""overall"": 36.0, ""rank"": 123.0}"
Bowling Green,overall,35.0,off,32.0,def,38.0,6,"{""def"": 38.0, ""defRank"": 112.0, ""off"": 32.0, ""offRank"": 124.0, ""overall"": 35.0, ""rank"": 124.0}"
UAB,overall,35.0,off,32.0,def,38.0,6,"{""def"": 38.0, ""defRank"": 114.0, ""off"": 32.0, ""offRank"": 123.0, ""overall"": 35.0, ""rank"": 125.0}"
UTEP,overall,35.0,off,27.0,def,43.0,6,"{""def"": 43.0, ""defRank"": 99.0, ""off"": 27.0, ""offRank"": 129.0, ""overall"": 35.0, ""rank"": 126.0}"
Appalachian State,overall,34.0,off,30.0,def,39.0,6,"{""def"": 39.0, ""defRank"": 111.0, ""off"": 30.0, ""offRank"": 125.0, ""overall"": 34.0, ""rank"": 127.0}"
Missouri State,overall,34.0,off,25.0,def,44.0,6,"{""def"": 44.0, ""defRank"": 95.0, ""off"": 25.0, ""offRank"": 132.0, ""overall"": 34.0, ""rank"": 128.0}"
Ohio,overall,33.0,off,18.0,def,48.0,6,"{""def"": 48.0, ""defRank"": 81.0, ""off"": 18.0, ""offRank"": 138.0, ""overall"": 33.0, ""rank"": 129.0}"
Toledo,overall,33.0,off,42.0,def,25.0,6,"{""def"": 25.0, ""defRank"": 135.0, ""off"": 42.0, ""offRank"": 109.0, ""overall"": 33.0, ""rank"": 130.0}"
Sacramento State,overall,32.0,off,21.0,def,42.0,6,"{""def"": 42.0, ""defRank"": 101.0, ""off"": 21.0, ""offRank"": 137.0, ""overall"": 32.0, ""rank"": 131.0}"
North Texas,overall,32.0,off,28.0,def,35.0,6,"{""def"": 35.0, ""defRank"": 124.0, ""off"": 28.0, ""offRank"": 126.0, ""overall"": 32.0, ""rank"": 132.0}"
Western Kentucky,overall,32.0,off,37.0,def,26.0,6,"{""def"": 26.0, ""defRank"": 134.0, ""off"": 37.0, ""offRank"": 118.0, ""overall"": 32.0, ""rank"": 133.0}"
Connecticut,overall,31.0,off,25.0,def,37.0,6,"{""def"": 37.0, ""defRank"": 117.0, ""off"": 25.0, ""offRank"": 131.0, ""overall"": 31.0, ""rank"": 134.0}"
Buffalo,overall,30.0,off,26.0,def,33.0,6,"{""def"": 33.0, ""defRank"": 128.0, ""off"": 26.0, ""offRank"": 130.0, ""overall"": 30.0, ""rank"": 135.0}"
James Madison,overall,30.0,off,27.0,def,32.0,6,"{""def"": 32.0, ""defRank"": 130.0, ""off"": 27.0, ""offRank"": 128.0, ""overall"": 30.0, ""rank"": 136.0}"
San Jose State,overall,24.0,off,24.0,def,23.0,6,"{""def"": 23.0, ""defRank"": 137.0, ""off"": 24.0, ""offRank"": 133.0, ""overall"": 24.0, ""rank"": 137.0}"
Southern Miss,overall,22.0,off,23.0,def,20.0,6,"{""def"": 20.0, ""defRank"": 138.0, ""off"": 23.0, ""offRank"": 135.0, ""overall"": 22.0, ""rank"": 138.0}"
